i,j,alpha,weight
adversity,life,0.3727,0.22807670418363976
adversity,river,0.3763,0.26100850805164255
adversity,use,0.398,0.21086472716679597
collaboration,travel,0.3615,0.2055708942009802
importance,certainty,0.5489,0.12182115502164868
importance,day,0.3249,0.22006847469403593
importance,expression,0.4418,0.1633719747914
importance,life,0.5703,0.13014010800754378
importance,meeting,0.5712,0.1377223217958963
odd,story,0.5354,0.1462599641675506
result,crisis,0.4995,0.13975304062408567
result,people,0.468,0.15053357105349444
step,community,0.4691,0.14426947417424735
step,impact,0.49,0.13666741230004062
step,people,0.3543,0.19119505827571914
step,support,0.5865,0.13723235212201007
burden,couple,0.6808,0.12327258400432682
generation,ability,0.5797,0.13079694845884138
generation,story,0.4515,0.18444415811478393
spread,isolation,0.5929,0.12206580890830407
voluntary_association,people,0.4986,0.14788214365288613
voluntary_association,role,0.4479,0.16641671478058684
air,benefit,0.5046,0.1476410632197946
air,bit,0.3651,0.17370263141344733
air,climate,0.4664,0.15449615232470892
air,environment,0.4628,0.15845759131017326
air,experience,0.4672,0.14463154584319166
air,impact,0.5524,0.1368245351294159
air,lockdown,0.4199,0.16790673615903595
conspiracy_theorie,fear,0.4891,0.16134629928806282
conspiracy_theorie,rise,0.4858,0.1937770670414046
conspiracy_theorie,threat,0.4857,0.15208041542645787
capital,neighbor,0.5292,0.1594902095873857
thank_god,crisis,0.5362,0.13841006144584092
touch,center,0.5176,0.15940296208614937
touch,face,0.5347,0.15215789945865962
touch,isolation,0.4856,0.173522611279176
touch,people,0.5365,0.15140862118842857
dozen,flexibility,0.506,0.14528722213692322
dozen,response,0.453,0.14528722213692322
dozen,running_workshop,0.3609,0.1798366260608863
dozen,seminar,0.3609,0.1798366260608863
dozen,workplace,0.5357,0.14528722213692322
chat,evaluation,0.3755,0.1899571941126158
privacy,education,0.5326,0.12873161074349795
discrimination,wealth_disparity,0.4975,0.166692472070548
reliability_seems,society,0.5872,0.12133649188783707
reliability_seems,trust,0.3891,0.25448858152788184
party,relationship,0.4986,0.17380790151841433
party,strengthening,0.4595,0.14333154435516582
psychology,biological_being,0.3285,0.21542585170736694
psychology,context,0.4557,0.16016912189762544
risk,activity,0.4132,0.2047032706535067
risk,am_healthy,0.5782,0.12903258430518616
risk,assessment,0.5538,0.13887972871960372
risk,connection,0.5027,0.16083964418812413
risk,consideration,0.5782,0.12903258430518616
risk,fear,0.4478,0.18684210853502434
risk,life,0.568,0.13310900151955374
risk,novelty,0.5538,0.13887972871960372
risk,people,0.4038,0.20981575540427383
don,default_response,0.4878,0.13438569302307152
don,expert,0.5763,0.1254977714078842
don,government,0.5311,0.16554710473551407
don,mask,0.5263,0.1489343783521741
don,people,0.4593,0.2253219286688967
don,tendency,0.4322,0.16253247420399966
age,expert,0.5884,0.12086094357273576
age,inequality,0.5118,0.13995104997871918
hell,barrier,0.3921,0.24210296518364272
orientation,threat,0.4874,0.15136842498209224
united_states,example,0.6941,0.12441595260036559
hate_crimes,democracy,0.5097,0.17032993578161815
listening,institution,0.5989,0.12317790776581593
rise,epistemic_agreement,0.4577,0.20856519806764098
rise,fear,0.3246,0.2904351575569512
rise,lack,0.569,0.1537084590478323
rise,racism,0.5232,0.1751462253123668
wealth_disparity,globalization,0.4217,0.2007793391953401
population,child,0.449,0.13946357253619673
population,empathy,0.4759,0.13110589812354767
republicans,country,0.3927,0.15946850161198073
republicans,democrats,0.3964,0.158029497924233
republicans,group,0.3843,0.1628191986263977
republicans,xenophobia,0.3964,0.158029497924233
aspect,ancient_greek,0.4997,0.17773002590194162
aspect,environment,0.3123,0.23579828281273668
aspect,extent,0.4536,0.16371957347814728
aspect,fragility,0.5348,0.16704787380493324
aspect,life,0.1877,0.3847684135312577
aspect,originally_thought,0.4519,0.1422218873726818
aspect,people,0.4833,0.21060989358977183
aspect,philosopher_enhanced,0.3612,0.17773002590194162
aspect,question,0.3834,0.26229237158144464
aspect,self,0.6055,0.12415012900735674
aspect,work,0.4587,0.19060746408750806
subject,classroom,0.4415,0.1447444342693687
subject,internet,0.4854,0.1308278718649253
period,school,0.439,0.17616319842210804
barrier,erosion,0.5928,0.16140197678909515
barrier,people,0.5269,0.1856004333460768
possibility,certainty,0.6327,0.1204660265235552
possibility,feeling,0.5652,0.1485046583790102
possibility,mindset,0.6155,0.12736224360508205
possibility,people,0.4675,0.19426227674937918
possibility,uncertainty,0.2154,0.38486509009923464
material_consumption,overemphasized_success,0.4312,0.13474940390269052
material_consumption,sight,0.4312,0.13474940390269052
material_consumption,utility,0.4312,0.13474940390269052
material_consumption,value,0.5341,0.17149983482372136
violation,polarization,0.4501,0.1706868414674789
topic,research,0.5371,0.21519432569606525
topic,student,0.484,0.24710443774979893
topic,teacher,0.3445,0.3438903590167052
foundation,individual,0.5753,0.12644909932773293
foundation,inequality,0.53,0.13271648104219314
foundation,institution,0.5502,0.14320825098602147
foundation,scaffolding,0.3219,0.20855374848471472
foundation,solution_lie,0.3219,0.20855374848471472
datum,anxiety,0.5337,0.12271385128772336
datum,national_identity,0.5916,0.1255308177379809
datum,people,0.4491,0.23182414985696748
datum,preventive_behavior,0.5916,0.1255308177379809
datum,science,0.507,0.14996670792154293
democrat,people,0.6469,0.12625135297859325
solution_lie,individual,0.5188,0.12644909932773293
solution_lie,inequality,0.501,0.13271648104219314
solution_lie,institution,0.4723,0.14320825098602147
solution_lie,scaffolding,0.3219,0.20855374848471472
philosopher_enhanced,ancient_greek,0.4435,0.1465659435978519
cdc,guidance,0.4892,0.16231927747289096
coronavirus,empathy,0.6594,0.12612830640807549
coronavirus,impact,0.5493,0.13809929174468052
connection,ability,0.5492,0.14539134735743056
connection,contact,0.4166,0.19558755927931343
connection,empathic_resonance,0.3709,0.20388994487743944
connection,face,0.2266,0.3490144142773491
connection,group,0.4983,0.15562860047565658
connection,isolation,0.5742,0.1293742852814865
connection,people,0.3148,0.3344035035825961
connection,perspective,0.5396,0.13998538998113688
connection,relationship,0.5603,0.1450192752050336
connection,skill,0.2745,0.2705033339262423
connection,tool,0.2985,0.21433965979443978
connection,use,0.5303,0.14927981106159643
tool,face,0.5007,0.12893407280480462
tool,isolation,0.4218,0.15822381069206323
tool,skill,0.4744,0.1382631769303894
enjoyable_activitie,couple,0.6808,0.12327258400432682
inconvenient_truth,idea,0.5687,0.14327827299330967
joy,meaning,0.362,0.20084484355413887
joy,pattern,0.4518,0.15426431301231486
structural_root,story,0.5354,0.1462599641675506
province,expert,0.5729,0.12681987833541922
path,story,0.5604,0.13588953068180237
outcome,evaluation,0.5491,0.13332884258911418
outcome,health,0.4641,0.1683933905865164
outcome,kin,0.52,0.14479267794038586
outcome,people,0.3544,0.3002069638058203
outcome,relationship,0.5706,0.14051581186405054
asset,approach,0.5496,0.12119845997167207
asset,deficit,0.5009,0.13791537372965867
asset,trust,0.3629,0.2729551908286872
deficit,approach,0.5496,0.12119845997167207
deficit,trust,0.3629,0.2729551908286872
town,eye_contact,0.5672,0.1215038437246528
democrats,country,0.3927,0.15946850161198073
democrats,group,0.4824,0.1628191986263977
democrats,xenophobia,0.3964,0.158029497924233
climate,bit,0.5442,0.12481504626593908
climate,impact,0.4519,0.18171837434030352
climate,lockdown,0.5431,0.12065037168130358
climate,people,0.5302,0.1837879845434058
climate,world,0.5654,0.12322413963136075
running_workshop,flexibility,0.4464,0.14528722213692322
running_workshop,response,0.4464,0.14528722213692322
running_workshop,seminar,0.3609,0.1798366260608863
running_workshop,workplace,0.5357,0.14528722213692322
depression,anxiety,0.3408,0.22470717063519513
depression,cost,0.539,0.13391087741157745
depression,life,0.5629,0.13317219297058155
depression,mental_health,0.342,0.22284885096098758
depression,people,0.51,0.1950148305326588
depression,resilience,0.4997,0.13661295371524512
trust,action,0.6143,0.1322802525095
trust,approach,0.3282,0.29960165302482117
trust,area,0.6166,0.13126071345473966
trust,care,0.4702,0.20403638497426543
trust,city,0.6222,0.12885505086840512
trust,community,0.4216,0.23311701297229157
trust,country,0.542,0.16594370457813715
trust,faith,0.4871,0.19455544213598713
trust,funny_word,0.5593,0.1575201350521678
trust,government,0.2333,0.3893795142927238
trust,group,0.5399,0.16701659919621073
trust,guidance,0.5674,0.15367588535180507
trust,health,0.4696,0.204371953023884
trust,individual,0.4835,0.1965712138828121
trust,institution,0.0859,0.6469972250079065
trust,lack,0.4359,0.22426540452277965
trust,member,0.6274,0.12659110184219435
trust,people,0.3086,0.3158805746733774
trust,person,0.4762,0.20064606751609843
trust,perspective,0.5379,0.167982531473326
trust,problem,0.5227,0.17569665150996377
trust,promise,0.5593,0.1575201350521678
trust,relationship,0.5966,0.140165192543827
trust,rule,0.6009,0.13822989483617115
trust,society,0.3816,0.2596530877692365
trust,way,0.5102,0.15809522665701914
trust,work,0.565,0.14034143585861864
trust,world,0.4298,0.18160262523788873
sphere,polarization,0.4849,0.14999765264631001
company,balance,0.5677,0.15490456216989282
company,work,0.4347,0.20344774426223428
diverse_perspective,compassion,0.6617,0.12794488351968036
threat,antagonism,0.4593,0.16368645913528526
threat,behavior,0.5365,0.13140585590840279
threat,community,0.3113,0.24352574287783504
threat,country,0.4427,0.17130961456475144
threat,death,0.5559,0.12400513359896731
threat,distancing,0.4887,0.1508068638515838
threat,event,0.5429,0.12896081465956977
threat,growth,0.5054,0.14384579636712633
threat,life,0.4963,0.14761076556945682
threat,mortality,0.5054,0.14384579636712633
threat,people,0.2943,0.25493207954228314
threat,prejudice,0.5344,0.1322397526582989
threat,problem,0.4832,0.15316365176842334
threat,self,0.448,0.16881052826537973
threat,society,0.4739,0.15719075373581148
threat,thinking,0.322,0.2366339119503952
threat,uncertainty,0.4213,0.22221691627601844
threat,way,0.3949,0.21781805807157908
threat,worker,0.3789,0.18530281287108746
threat,world,0.4999,0.14950025403984904
good,consequence,0.4332,0.16229633851255376
good,country,0.4648,0.14920761667758375
good,digitalization,0.5209,0.12781380306342938
good,experimenter,0.4946,0.13756793597256098
good,ignorance,0.4884,0.16821085152258822
good,petty_ideologie,0.4884,0.16821085152258822
good,realization,0.5332,0.1253758495624652
good,self,0.5331,0.1551230536708154
good,tribe,0.329,0.23890954978524354
access,community,0.58,0.1358673188965122
access,people,0.6498,0.12496047805601652
access,school,0.5165,0.142093721227195
access,support,0.3658,0.25320218345934137
vaccine,community,0.435,0.15920566815474468
vaccine,practice,0.5221,0.127976863825565
matter,america,0.5868,0.12480858206431307
matter,travel,0.5159,0.13664396190101671
ending_event,bird_flu,0.4037,0.1699649573367207
ending_event,civilization,0.4037,0.1699649573367207
ending_event,greatest_blessing,0.4037,0.1699649573367207
ending_event,preparation,0.4105,0.15791374226224342
day,alienation,0.6376,0.12339559306922246
day,distance,0.3821,0.19269060113978004
day,distancing,0.5201,0.14567699734153675
day,expression,0.2848,0.2845494987707764
day,fear,0.4788,0.16601049703612314
day,help,0.4408,0.22134438178026597
day,ignore_unfamiliar,0.3459,0.17104287506585367
day,issue,0.3337,0.21678738665989536
day,life,0.1464,0.44119165521692283
day,mental_health,0.5014,0.14567699734153675
day,network,0.7121,0.1316267517884648
day,openness,0.4338,0.2415764413204789
day,people,0.1393,0.5688918474643082
day,policy,0.4362,0.19634654696939224
day,situation,0.3175,0.22417417532427186
day,slow_down,0.5617,0.14454033342297204
day,tendency,0.5342,0.12290386271690665
day,terrible_shame,0.4839,0.12339559306922246
day,value,0.4861,0.19671717589523358
day,way,0.3721,0.23169423974192357
investment,care,0.4449,0.13263371736468
investment,future,0.4379,0.13510450018919307
investment,long_term,0.5431,0.12610439105376992
investment,public,0.3052,0.19027114374596127
investment,situation,0.512,0.13263371736468
cynicism,institution,0.5674,0.1359451756456321
rough_edge,compassion,0.6409,0.13770901985693487
area,democracy,0.554,0.15437488018673964
area,group,0.3738,0.21912772548291073
area,individual,0.3965,0.20913699344195444
area,member,0.56,0.13468341530191727
area,state,0.5329,0.1520775869367826
clearer_insight,choice,0.3445,0.16675039294180613
clearer_insight,domain,0.491,0.12632630007188855
clearer_insight,life,0.5865,0.12370683593686733
clearer_insight,meaning,0.5244,0.13022005133272652
clearer_insight,privilege,0.4002,0.1549271037145205
support,community,0.2691,0.3259930565296255
support,course,0.5997,0.13165352171805314
support,individual,0.6215,0.12264346262260795
support,mental_health,0.5989,0.13198830608678583
support,partner,0.3217,0.2839463720011408
support,people,0.4001,0.23156381736547563
support,resilience,0.5726,0.14324619113140905
increase,country,0.4694,0.14892530420749714
increase,gratitude,0.4477,0.15780878895847278
increase,inequality,0.4052,0.18783157324471117
increase,kin,0.4837,0.15628062800678166
increase,left_behind,0.4565,0.1475814396838623
increase,notable_difference,0.4565,0.1475814396838623
increase,people,0.6046,0.14580056843079384
increase,relationship,0.5886,0.13281627002252575
visceral_absence,contact,0.5577,0.13214656821145446
institution,care,0.5355,0.14961459195237709
institution,community,0.5609,0.13867047302568103
institution,faith,0.3419,0.25410108348551425
institution,government,0.2537,0.32226994621249394
institution,guidance,0.5125,0.15995519220027923
institution,health,0.5218,0.15571642261834864
institution,law,0.5989,0.12317790776581593
institution,people,0.4878,0.20788922189404008
institution,reverse_overnight,0.5989,0.12317790776581593
institution,scaffolding,0.4723,0.14320825098602147
institution,science,0.2835,0.2704133328801915
institution,society,0.3757,0.22159803363169833
institution,understanding,0.5796,0.1326635547304385
institution,work,0.6134,0.12036750653141766
conflict,mask,0.48,0.16975562878181144
conflict,people,0.6241,0.13661708528181776
systematic_contributor,compassion,0.3957,0.24566864424296947
systematic_contributor,empathy,0.3957,0.24566864424296947
colleague,unavoidable_limitation,0.4255,0.12831675160670664
week,information,0.5104,0.13873653119480053
week,science,0.3308,0.21304643534731518
week,situation,0.5408,0.12801593062578365
tribe,coin,0.3312,0.23760895311563004
tribe,country,0.5137,0.14670788194810452
tribe,ignorance,0.4398,0.17938097201464687
tribe,people,0.5336,0.13860697943416347
tribe,petty_ideologie,0.4398,0.17938097201464687
tribe,realization,0.546,0.13370149165826598
tribe,self,0.4764,0.16262895123418603
wellbeing,behavior,0.478,0.13792826344279135
wellbeing,fidelity,0.4968,0.1309944622320459
wellbeing,people,0.2883,0.22609387068168557
wellbeing,pleasure,0.5233,0.12160289388465839
wellbeing,problem,0.3873,0.17521675681280627
wellbeing,right,0.4345,0.1549466796798931
wellbeing,self,0.4748,0.13913372567285456
wellbeing,specie,0.4423,0.1517826921375988
employee,balance,0.5893,0.1439211911034159
employee,work,0.4292,0.2064815721296503
travel,complex_conversation,0.4371,0.16913799244308092
travel,deliver_document,0.4371,0.16913799244308092
travel,discernment,0.4371,0.16913799244308092
travel,family,0.4634,0.15776371049433724
travel,narrative,0.4649,0.15714541258346473
travel,ocean,0.4371,0.16913799244308092
nationalism_populism,long_term,0.4695,0.13677572140938507
nationalism_populism,problem,0.5985,0.12102637102138143
neighbor,community,0.3467,0.2547977108394563
neighbor,decline,0.6218,0.12099247172286451
neighbor,fact,0.6146,0.12379690543561331
neighbor,people,0.3886,0.27361444917850397
america,long_term,0.5405,0.1270777597736475
particle,idea,0.4101,0.18599824555923813
particle,institute,0.4178,0.1826762161448663
particle,paradigm,0.5361,0.13577897639967182
legitimate_concern,freedom,0.5268,0.1413528584552505
civilization,bird_flu,0.4037,0.1699649573367207
civilization,greatest_blessing,0.4037,0.1699649573367207
civilization,preparation,0.4105,0.15791374226224342
issue,biological_being,0.4467,0.1617226392589494
issue,life,0.4601,0.17967422792664003
issue,meeting,0.6076,0.12343415621784401
issue,people,0.518,0.19053794585823036
issue,situation,0.5356,0.1238579868754144
issue,value,0.6178,0.1321715719365685
issue,way,0.5062,0.15993494924346524
experimenter,attitude,0.4514,0.15249276905075138
experimenter,consequence,0.3287,0.20536362336766453
experimenter,digitalization,0.4106,0.16871389308548476
north_america,kin,0.5504,0.12917711257030762
segregation,globalization,0.5256,0.12415780476985679
race,biological_being,0.4219,0.22775815386108927
thinking,people,0.6055,0.12141252788482489
pretty_unaware,inequality,0.492,0.14805646929480654
distinction,empathic_resonance,0.542,0.13181529453488988
distinction,self,0.5406,0.15176753259420842
strengthening,relationship,0.3213,0.19778123996528138
distress,anxiety,0.5092,0.1312160629458956
school,child,0.4298,0.18060337995841438
school,class,0.5193,0.1409498849909226
school,educational_attainment,0.4544,0.16898329200083545
school,impact,0.329,0.2357819107020431
school,inequality,0.45,0.17099655169615965
school,people,0.4507,0.17071058260909835
school,policy,0.5613,0.12453737085059836
school,response,0.4965,0.1504054508758648
school,student,0.5114,0.19451070470577053
school,summer,0.381,0.1631716955039129
school,widening_inequalities,0.3291,0.16898329200083545
school,year,0.5269,0.13064964192833697
attention,fact,0.5087,0.1470457818931944
attention,worker,0.5194,0.12656096309421028
compassion,altruism,0.5182,0.20209168216259418
compassion,conservatism,0.6409,0.13770901985693487
compassion,countervailing_force,0.6409,0.13770901985693487
compassion,country,0.4492,0.17331440857853572
compassion,empathy,0.0956,0.6524128011355543
compassion,experience,0.4178,0.1652553900935794
compassion,foresight,0.6409,0.13770901985693487
compassion,people,0.2045,0.45857794885309994
compassion,short_supply,0.6409,0.13770901985693487
compassion,technology,0.2743,0.26824949196703496
compassion,value,0.377,0.26431188194335065
compassion,world,0.4444,0.17448585466611333
classic_trade,equity,0.4951,0.14285178372492136
classic_trade,structure,0.5292,0.13511686258059039
tremendous_variability,couple,0.6808,0.12327258400432682
tendency,default_response,0.4715,0.1463713766028388
tendency,influence,0.5182,0.12862949900691684
tendency,mask,0.5222,0.12718359185503117
tendency,people,0.1517,0.34526170352320834
tendency,way,0.5758,0.12981345250833926
benefit,environment,0.4286,0.1737715862310923
benefit,group,0.5775,0.12287599220130604
skill,distance,0.5829,0.12149132953444396
skill,people,0.4204,0.1889254704996022
mutual_dependence,worker,0.5309,0.12243030436848452
email,memory,0.548,0.14743796493798153
respect,confidence,0.4285,0.1295412513895031
respect,people,0.4012,0.13869845807261175
respect,rule,0.4584,0.12056212948034827
respect,statement,0.4563,0.127463848086839
respect,uk,0.4975,0.12056212948034827
incredibly_misleading,expert,0.5306,0.14392195201428504
friend,animal,0.5213,0.14908634221294176
friend,despair,0.4784,0.16801643258579793
friend,fact,0.5596,0.1333280412181747
friend,family,0.5873,0.12250463997325856
friend,gratitude,0.5565,0.13035121741385258
friend,job,0.6386,0.12732089337778735
friend,life,0.5444,0.1408921844982003
friend,people,0.1963,0.47032764955335093
friend,relative,0.2884,0.32946443469346537
friend,slow_down,0.5617,0.14454033342297204
human,people,0.6517,0.12411184007264886
human,specie,0.4966,0.15721180685951222
expert,alternative,0.3458,0.23751886380666798
expert,commentator,0.5306,0.14392195201428504
expert,difficulty,0.5555,0.13371729321378517
expert,expertise,0.5738,0.12647697257044152
expert,fore,0.5555,0.13371729321378517
expert,government,0.3679,0.2593500998339213
expert,information,0.3817,0.21421832584525044
expert,internet,0.3462,0.24172188714547152
expert,mask,0.5154,0.15368372037454822
expert,sound_voice,0.5306,0.14392195201428504
left_behind,inequality,0.5435,0.12396859809718712
humility,courage,0.3686,0.18678830636223942
humility,manager,0.5014,0.16414743664615755
environment,bit,0.5386,0.12801543140699576
environment,experience,0.5275,0.12209928823357782
