i,j,alpha,weight
context,psychology,0.5478,0.12315217801934432
context,role_played,0.4755,0.14660951249968626
creature,each_other,0.621,0.12008881067386395
creature,form,0.3541,0.17660052781641078
creature,rather_than,0.4681,0.13181605155526196
creature,recognition,0.4295,0.16007191012653535
expert,alternative,0.4429,0.23570186206653304
race_gender,prejudice_issue,0.5625,0.1227159966585131
community,step,0.6133,0.13610389111521579
community,support,0.2926,0.3032195319547324
security,network,0.2954,0.2754253021312081
realization,alternative,0.4212,0.2136417583111271
country,group,0.503,0.13663009144330363
country,long_term,0.5274,0.16367385859491027
country,technology,0.3818,0.23513009540486468
worldview_shaped,default_response,0.3623,0.18810853980103023
worldview_shaped,don,0.4782,0.14040572407674018
worldview_shaped,influence,0.4021,0.17050284984633116
worldview_shaped,worldview,0.3623,0.18810853980103023
sense,trust,0.4785,0.13894671580324774
mental_health,support,0.6183,0.12608078008976734
history,each_other,0.4739,0.18663936685421012
crisis,evolution,0.424,0.14764699414633164
crisis,head,0.424,0.14764699414633164
crisis,humanity,0.4884,0.12402366392950823
crisis,mechanism,0.424,0.14764699414633164
crisis,order,0.3608,0.17424696127015746
crisis,previous_ideas,0.424,0.14764699414633164
crisis,specie,0.4191,0.21070595479970675
crisis,thank_god,0.424,0.14764699414633164
crisis,way,0.6867,0.122184734785259
default_response,don,0.3861,0.14040572407674018
default_response,influence,0.3714,0.17050284984633116
default_response,worldview,0.3623,0.18810853980103023
worldview,don,0.4782,0.14040572407674018
worldview,influence,0.4021,0.17050284984633116
careful_listening,institution,0.4626,0.12559870127516504
couple,partner,0.4065,0.18246110351868644
law,institution,0.4626,0.12559870127516504
scaffolding,foundation,0.3918,0.16022445956794754
scaffolding,institution,0.4869,0.12633589614098265
scaffolding,solution_lie,0.3918,0.16022445956794754
fragility,life,0.4483,0.21452942874579006
way,discourse,0.3508,0.32242118156747623
way,each_other,0.5284,0.2029636244679558
way,life,0.6869,0.12211783368025868
way,living,0.3508,0.32242118156747623
capacity,each_other,0.5341,0.15730129740998167
action,trust,0.5074,0.1281822365207231
natural_tendencie,mask,0.4748,0.13569587280587608
touch,each_other,0.4307,0.26455595826920275
alternative,effective_government,0.4429,0.23570186206653304
procedures_changing,institution,0.4626,0.12559870127516504
each_other,care,0.4729,0.18712780950761668
each_other,form,0.5056,0.12008881067386395
each_other,reason,0.3881,0.1630147799449049
each_other,specie,0.4259,0.20757415075061672
don,influence,0.4867,0.12726469577162025
health,care,0.367,0.2000776965907585
health,institution,0.4645,0.12493712439555489
health,trust,0.3767,0.1822304109236898
living,discourse,0.4315,0.35257821814750073
care,institution,0.4645,0.12493712439555489
care,trust,0.3767,0.1822304109236898
experiment,mask,0.4748,0.13569587280587608
aspect,life,0.5523,0.1601264876686748
aspect,world,0.5358,0.14193222147555695
base,institution,0.4626,0.12559870127516504
line,mask,0.5123,0.12299565479727585
foundation,institution,0.4605,0.12633589614098265
foundation,solution_lie,0.3918,0.16022445956794754
rather_than,form,0.4681,0.13181605155526196
rather_than,situation,0.6373,0.12325127134409569
solution_lie,institution,0.4869,0.12633589614098265
state,reflection,0.487,0.1664150540388029
world,life,0.4873,0.16166945865083568
inconvenient_truth,idea,0.5289,0.12510950163179393
form,recognition,0.4295,0.16007191012653535
technology,group,0.5598,0.14838681475181426
network,partner,0.4481,0.166431568295021
understanding,institution,0.4703,0.12295952400784378
science,institution,0.2878,0.20044940940801492
ability,life,0.5279,0.17197655787526805
ability,story,0.5726,0.14626410028616352
life,contact,0.3394,0.28568374523419326
life,depression,0.6397,0.12122775654857038
life,extent,0.6101,0.1338245561399865
life,idea,0.5527,0.15993906791680887
trust,institution,0.3285,0.20657389101280815
trust,promise,0.5074,0.1281822365207231
access,support,0.3825,0.24226873260449838
cynicism,institution,0.4626,0.12559870127516504
