i,j,alpha,weight
inequality,unfortunate_event,0.5444,0.12354497630394821
information_technology,answer,0.4142,0.13105768343883561
information_technology,computer,0.3754,0.14452964182495895
information_technology,familiarity,0.3754,0.14452964182495895
information_technology,order,0.4427,0.1214991768472642
information_technology,question,0.4183,0.13105768343883561
employee,work,0.5122,0.17973241901689277
person,people,0.6,0.128568516821919
hand,slow_down,0.4516,0.16683978378712996
end_up,prediction,0.4461,0.18240042695894348
information,conversation,0.5726,0.19361459679395793
information,expert,0.4963,0.23771826822492803
information,skill,0.6755,0.13991929279655366
familiarity,answer,0.4097,0.14452964182495895
familiarity,computer,0.3708,0.15938643823045825
familiarity,order,0.4056,0.13398857702194752
familiarity,question,0.3795,0.14452964182495895
issue,impact,0.5028,0.13236071672966665
experimenter,consequence,0.402,0.2081537156448676
internet,expert,0.4202,0.23771826822492803
great_gifts,slow_down,0.3853,0.19846467127279513
society,force,0.4522,0.18064848204949507
society,government,0.4714,0.17176086533661927
society,humanity,0.5077,0.15575061857366168
society,people,0.5182,0.1513168780262009
society,temptation,0.5175,0.17176086533661927
society,trust,0.4037,0.2545547266003906
relation,prediction,0.4083,0.20115011714974276
distinction,resource,0.4801,0.12502350411942473
short_memorie,prediction,0.4083,0.20115011714974276
approach,trust,0.4212,0.24301562014792294
resource,deriving_pleasure,0.4424,0.1378751843917246
problem,trust,0.5628,0.16354558022467638
consequence,attitude,0.402,0.2081537156448676
consequence,behavior,0.5436,0.1418160869397185
consequence,digitalization,0.402,0.2081537156448676
consequence,good,0.4339,0.16430692807809613
consequence,impact,0.4269,0.17498490129229308
consequence,life,0.3863,0.21308315697202998
consequence,world,0.4836,0.1311381137255216
compassion,empathy,0.3585,0.2593222485189285
compassion,flexibility,0.615,0.1351394536779039
compassion,people,0.4444,0.17621203290092965
compassion,value,0.4025,0.25252154334649923
empathy,capacity,0.5942,0.1399064675668214
empathy,people,0.3731,0.21357637509371746
empathy,somebody_else,0.6114,0.13268652178753823
commentator,expert,0.6095,0.13107715343462817
lack,trust,0.5372,0.176411934937228
encountered_tragedy,value,0.5688,0.15995459881937124
people,ability,0.226,0.319483250350296
people,challenge,0.5123,0.14564659440103758
people,communication,0.3814,0.20889379483979562
people,course,0.5747,0.1208542870610538
people,day,0.4914,0.154606086234773
people,death,0.5361,0.13585927147712867
people,impact,0.4113,0.1927997574960487
people,life,0.3331,0.23772498529167554
people,mind,0.4517,0.1726950413047088
people,perspective,0.5797,0.12213042188473432
people,policy,0.6126,0.1300638516889956
people,positive_change,0.2478,0.2829723015982723
people,possibility,0.7045,0.13750808887360463
people,rather_than,0.49,0.14015542263826314
people,research,0.5084,0.12540199179957076
people,sense,0.4896,0.13270236433918334
people,slow_down,0.5622,0.1223268144433518
people,sort,0.4151,0.1883496110072362
people,step,0.4306,0.1445280113913263
people,trust,0.6497,0.12339317944891345
people,value,0.5156,0.18662792498589392
people,way,0.2063,0.38037231692643597
privilege,choice,0.4182,0.1287594577658467
privilege,clearer_insight,0.4182,0.1287594577658467
privilege,life,0.4332,0.12424006365572536
incredibly_misleading,expert,0.6095,0.13107715343462817
friend,slow_down,0.4229,0.17996529800415526
use,adversity,0.3962,0.2102957672715539
use,fact,0.5112,0.1571834435181881
use,life,0.4109,0.20291448850196744
government,force,0.4667,0.19623285376268507
government,humanity,0.3608,0.2380679942988666
government,temptation,0.3477,0.2625399827249324
positive_change,ability,0.3854,0.2004032091134681
positive_change,mind,0.4318,0.17813115449692873
positive_change,slow_down,0.542,0.12984103724985024
positive_change,sort,0.466,0.16513941093984263
human,nervous_system,0.435,0.16016459295805702
expert,fore,0.6095,0.13107715343462817
expert,sound_voice,0.6095,0.13107715343462817
place,living,0.5165,0.14952148775903062
prediction,environment,0.4083,0.20115011714974276
prediction,example,0.498,0.1587786109367888
prediction,post_covid,0.4083,0.20115011714974276
prediction,world,0.4971,0.1267258038462758
security,freedom,0.2972,0.26362406270572214
security,mean,0.6228,0.12219850746417775
ignorance,country,0.5056,0.1499986346100278
ignorance,good,0.4647,0.16629442939036299
ignorance,petty_ideologie,0.3646,0.21067159963087187
lesson,challenge,0.4977,0.12015545551900614
lesson,culture,0.4977,0.12015545551900614
lesson,experience,0.4542,0.13513991332211087
lesson,extent,0.4254,0.1457715553281931
lesson,history,0.4651,0.13127218885989753
lesson,order,0.4023,0.13513991332211087
lesson,way,0.5625,0.1473992649202086
lesson,were_lived,0.3735,0.16075601313129784
petty_ideologie,country,0.5056,0.1499986346100278
petty_ideologie,good,0.4647,0.16629442939036299
were_lived,challenge,0.4495,0.13250672905096353
were_lived,culture,0.4495,0.13250672905096353
were_lived,experience,0.4036,0.14903150091017822
were_lived,extent,0.3735,0.16075601313129784
were_lived,order,0.4036,0.14903150091017822
culture,extent,0.4964,0.12015545551900614
culture,work,0.6102,0.1343391780988571
country,good,0.4733,0.14846892264255243
country,realization,0.4965,0.12376520718930195
vulnerability,story,0.5032,0.13603801506134225
choice,clearer_insight,0.4182,0.1287594577658467
choice,life,0.5775,0.12424006365572536
long_term,at_least,0.4244,0.16556448317640396
control,story,0.5377,0.12335758179730069
veracity,living,0.4096,0.16112082244918982
experience,extent,0.4531,0.13513991332211087
experience,order,0.4311,0.12528367507357935
domain,crisis,0.4707,0.17585377654794007
temptation,force,0.4667,0.19623285376268507
temptation,humanity,0.3886,0.2380679942988666
history,crisis,0.2668,0.25203494252915765
crisis,behavior,0.6078,0.13212575104119056
crisis,challenge,0.5782,0.14495139726185408
crisis,feeling,0.5118,0.17585377654794007
crisis,habit,0.4762,0.1939305096133626
crisis,habit_driven,0.4762,0.1939305096133626
crisis,result,0.5118,0.17585377654794007
conversation,living,0.4469,0.146102359884934
openness,day,0.5059,0.2051504922306176
openness,help,0.3861,0.2744708933977679
openness,policy,0.3689,0.24888679585648232
hero,story,0.5032,0.13603801506134225
socially_dependent,nervous_system,0.435,0.16016459295805702
answer,computer,0.4097,0.14452964182495895
answer,day,0.394,0.25393872177823923
answer,life,0.4831,0.16390990261805913
answer,order,0.4427,0.1214991768472642
answer,question,0.4183,0.13105768343883561
answer,situation,0.5198,0.12696936088911961
answer,value,0.6411,0.12696936088911961
question,computer,0.3795,0.14452964182495895
question,order,0.4477,0.1214991768472642
adversity,fact,0.4173,0.1733409762511153
adversity,life,0.3678,0.2237729034633138
computer,order,0.4056,0.13398857702194752
public,at_least,0.4244,0.16556448317640396
step,impact,0.4074,0.15205228904348067
odd,story,0.5032,0.13603801506134225
family,work,0.5929,0.14187246935862702
acceptability,living,0.4096,0.16112082244918982
way,day,0.4304,0.21245621623128244
way,extent,0.62,0.12320461589377756
way,impact,0.6246,0.12134759999793339
way,life,0.427,0.21435920665839797
way,living,0.5444,0.15546556023677066
capacity,challenge,0.4313,0.1399064675668214
order,extent,0.4023,0.13513991332211087
freedom,mean,0.4237,0.1662121323942776
freedom,nervous_system,0.4725,0.1452352628634417
challenge,extent,0.4964,0.12015545551900614
challenge,impact,0.4508,0.16453672193890267
pattern,story,0.5377,0.12335758179730069
force,humanity,0.4788,0.1779415136161229
reliability_seems,trust,0.5031,0.1945460433994686
noticing_first,slow_down,0.3853,0.19846467127279513
gratitude_journal,slow_down,0.3853,0.19846467127279513
mind,ability,0.4409,0.18550364425242769
mind,sort,0.3374,0.22889037188474645
nervous_system,right,0.435,0.16016459295805702
nervous_system,specie,0.5281,0.1452352628634417
institution,trust,0.5031,0.1945460433994686
living,discourse,0.4096,0.16112082244918982
living,ideas_check,0.4096,0.16112082244918982
living,sort,0.5385,0.13544659111685536
living,utopian_vision,0.4096,0.16112082244918982
care,at_least,0.4896,0.13918216475924292
flexibility,value,0.3099,0.3199091976387425
value,day,0.4739,0.20931465484115108
value,life,0.5599,0.16426395986873968
value,themselves_break,0.5688,0.15995459881937124
distancing,threat,0.5588,0.13236649088797664
world,trust,0.42,0.15310132674454738
meaning,life,0.4911,0.20315095302042416
structural_root,story,0.5032,0.13603801506134225
path,story,0.5032,0.13603801506134225
communication,partner,0.7354,0.12240442453439053
asset,trust,0.4212,0.24301562014792294
deficit,trust,0.4212,0.24301562014792294
situation,at_least,0.4797,0.14117811007615422
situation,day,0.3185,0.20931465484115108
situation,life,0.4724,0.14384268275463527
sort,ability,0.4505,0.17197419859291496
help,day,0.4932,0.22623875521302755
help,policy,0.3278,0.2744708933977679
story,narrative,0.5377,0.12335758179730069
story,perspective,0.2604,0.2571143441015254
life,clearer_insight,0.5775,0.12424006365572536
life,day,0.2222,0.3323774460585592
life,extent,0.5802,0.12320461589377756
life,fact,0.4461,0.1814666189018666
life,perspective,0.5406,0.13660620639242255
life,slow_down,0.4101,0.18609531524214526
life,work,0.5249,0.1734238988507084
foreseeable_future,at_least,0.4244,0.16556448317640396
trust,perspective,0.5843,0.15310132674454738
trust,work,0.5454,0.16354558022467638
company,work,0.5122,0.17973241901689277
slow_down,day,0.495,0.14834041051849012
year,at_least,0.5085,0.13918216475924292
day,policy,0.448,0.2051504922306176
partner,support,0.4444,0.32752981864675973
investment,at_least,0.4244,0.16556448317640396
