RecordingDate,Name,Gender,Location,Field,Q1,Q2,Q3,Q4,Q5
15-Jul-20,FeldmanBarrett,Female,North America,Non-SC,"I would say that as a scientist, one thing we know is that the best predictor of future behavior is past behavior. So, when you look at past epidemics, you can see that in a crisis like this, like the flu epidemic and others, similar, Spanish flu epidemic and at the turn of the century and other epidemics, one aspect of social life that did in some ways get better, was the stratification of society and to some extent, some forms of racism. So one thing that crises do like this is they kind of reveal the cracks in a society. And I think we saw this with just in recent weeks with the reaction to the George Floyd murder and the Black Lives movement, in the United States and in Canada, and in lots of countries around the world, so one possibility is that people will take action, they'll realize that one of our greatest strengths as a species is that we are social animals. And that means that we are necessary to each other's wellbeing. And so hopefully, now that these cracks have been revealed, many of us have known they've been there for a long time. We'll have the opportunity to do something about them.","We have this really interesting dilemma in our species, and that is that we evolved as social animals, which means that we regulate each other's behavior, but it also means we regulate each other's nervous systems. The best thing for a human nervous system is another human. And the worst thing for a human nervous system often is another human. So I think this dilemma that we're in is that we have these socially dependent nervous systems in a culture that prizes and prioritizes individual rights and freedoms. And so I think we have to realize this. And we have to realize that in a culture that prioritizes individual rights and freedoms, we're aware of the fact that we're responsible for ourselves, we're responsible for our own behavior, we're responsible for our own wellbeing. But as a social species, given our socially dependent nervous systems that we've evolved, we also have to realize that we're more responsible for other people, for the wellbeing of other people, than we might know and like. We are responsible for each other's well beings, even for people we don't even know very well, for people who don't look like us, who don't act like us, and who we might consider to be strangers.","It would probably be the same kind of thing in the sense when I said that if you look back to previous epidemics, you can see that there have been efforts that make things a little bit more egalitarian in certain ways where social stratification is reduced in certain ways. But there's also evidence that it goes the other way, that people become more entrenched in their in-group and out-group beliefs. And there's an opportunity, unfortunately, for increased racism in certain cases. In each case, when there’s been a large health crisis it's certain groups that benefit and other groups don't, what I mean by that is certain out-groups benefit and they do better actually, the minority culture broadens to include them more, but there are always out-groups that suffer more too. And I think that's a real danger here.","First of all, history is really instructive. As a species, we cooperate with each other, we copy each other, we learn from each other, we communicate with each other in this really high fidelity way. We're really creative when we work together to solve problems. It’s important to realize that we have this capacity to help each other but also to really harm each other. Unless we're really careful. There are really good reasons to believe that watching out for the wellbeing of other people in the end also makes it easier for you to take care of yourself and the people that you love.","Remember you’re a social animal. Remember that. You need other people to keep yourself healthy. And you need social connection to keep your wellbeing intact. And other people need you. So, random acts of kindness, be kind to other people, treat other people with human dignity. Remember that your biology doesn't only belong to you, you spread it around every time you breathe. If everybody remembers that they can have a good impact on other people or a bad impact on other people they can choose to be the kind of person who has a good impact, they can choose to be their best self."
23-Jun-20,Schaller,Male,North America,SC,"For a lot of people in many parts of the world, particularly those of us who live in these relatively wealthy, modernized parts of the world, the threat posed by infectious diseases has kind of been off our radar, and this pandemic has changed that and as a result that's offered an opportunity at a massive worldwide scale to have increased awareness of, and education about the challenges that infectious diseases pose to people and pose to a way of life that we take for granted. This is maybe even more important, a means through which these challenges can be met. So it's really been an unprecedented learning opportunity. I think particularly to learn about how this is kind of weird and invisible force of nature can be mitigated through the coordinated combination of sensible thoughtful responses by individuals, by communities, by the folks who are entrusted to govern these communities. And these lessons, if in fact, we do learn them, can serve individuals and societies as we face additional challenges in the future.","Given that this positive change is contingent upon learning, there's a kind of a necessary willingness to learn. In particular, there's necessary willingness to learn from past mistakes. So this pandemic because it's been unprecedented within most people's lifetimes, and the means of mitigating the pandemic have required sudden changes in individual behavior and sudden changes in public policy, it's been hard. So naturally, folks have made mistakes, folks have screwed up. At an individual level, this has happened, people have blithely attended church services or gone to nightclubs, and as a result have passed on their incipient infections to other folks. Government officials and lots of countries around the world have been slow to respond or reluctant to take actions that we now know could have prevented millions of infections and thousands and thousands of deaths. And that's a terrible tragedy. And it'll be even perhaps greater tragedy if these individuals fail to admit their mistakes, fail to learn from those mistakes. This is where this wisdom comes in, that if people and that includes ordinary people like you and me as well as government officials, if we have the wisdom to critically self-reflect on the mistakes that we've made and to learn from them, then ideally we'll be better prepared to respond swiftly and sensibly and thoughtfully to future challenges. ","The real negative consequence is that a hell of a lot of people have died and a hell of a lot of people are bereaved, and a hell of a lot of people are experiencing a lasting hit on their health and wellbeing. And it's a massive tragedy. People may be inclined to be more interpersonally wary of other people, even when the pandemic’s over and there isn't that increased risk of infection. People may still act as though there is. For the past several months, we have erected barriers between ourselves and other people. Some of those barriers are behavioral, there are restrictions, some self-imposed, some imposed by others, on who we interact with and how we interact with them. And some of these barriers are physical barriers, like these plexiglass shields that you see in grocery stores now. And I assume that over time, some of these barriers will dissolve. And, certainly the informal ones are likely to dissolve, I'm certainly looking forward to touching, hugging my friends again. But I'm guessing that some of these barriers are going to stick around for a while, and there'll be these consistent, persistent reminders of the pandemic. And that's perfectly sensible from an epidemiological perspective, but it's kind of a drag for interpersonal interaction. And so my concern is that there's going to be this persistent, lasting wariness of interactions with other people, especially strangers. that represents a low level erosion of interpersonal trust and erosion of social capital. ","I think it's a hard problem to solve, in part because I think we humans tend to think, kind of naturally in a bit of a simple minded way about interpersonal trust in the sense that we tend to, either trust people or we don't, and to kind of overcome that, to think of people as simply not just folks I don't trust, we might need to make some finer distinctions, more nuanced, more compartmentalized approach to thinking about trust and that's going to be effortful. I think kind of the wisdom necessary, maybe is something like this, some sort of effort for cognitive strategy of compartmentalizing the risk of infection. So that even if I'm reminded that a casual social interaction brings with it some potential risk of disease transmission, I resist the tendency to over generalize that appraisal to simply view this person as a non-trustworthy person. So that ideally I'll still trust that person in a variety of other ways. And ideally, that person will still trust me, and will continue to appreciate the goodness of this opportunity for the social interaction and we'll continue to seek out rather than avoid casual social interactions with other people.","So, the first one has to do with perspective taking. For a lot of people, some bit of perspective taking can help. That is, what people have been going through, feels hard and the uncertainty associated with it feels hard and the hits that they've taken to their wellbeing, their way of life, to their jobs, to the health of friends and family, it's hard. And in that context, it can sometimes be helpful to realize that almost certainly somewhere in the world, perhaps even right next door, other folks have it harder. And having that perspective can help, make people feel, less overwhelmed by it, a little bit more compassionate for other folks. The second piece of wisdom is, it ties into this thing that psychologists talk about when they talk about a distinction between threat and challenge and how what is perceived to be a threat can be mentally reconstrued as a challenge. So the idea is something like this, that a lot of what's been happening in people's lives feels pretty overwhelming, the threat of disease, the uncertainty about the future and if those are viewed simply as kind of threats, then it can be overwhelming. But if one can somehow make that mental transition to kind of view these threats instead as challenges, hard challenges, hard problems to solve, but still as problems that can potentially be solved through some sort of sensible step by step approach, then it can feel less overwhelming, less anxiety provoking, and if we have some resources to draw upon as individuals, as families, as communities, then we're likely to be able to figure out how to solve those problems. "
20-Jun-20,Bond,Male,Non-North America,SC,"Positive size societal change would be a redirection of social wealth through progressive taxation and that would channel itself into social institutions like employee protection, job retraining, health care and pollution control, welfare services, educational access, technical training for the fourth industrial revolution and guaranteed income, yielding greater freedom from disease, crime and natural disaster. The important psychological outcome for me would be a heightened awareness or common fate, and our ecological vulnerability. We've seen that vulnerability, of course, as we respond to the virus itself. There's a much wider consideration to make when we talk about ecological vulnerability, particularly, the climate crisis and pollution mechanisms that interfere with the basic human functioning, willingness to sacrifice our wealth and freedoms for the welfare of others. So that your risks should not be my risk locally, nationally and internationally. But that would require a willingness on everybody's part to exercise their freedoms within constraint, their wealth within beneficence, you might say, more broadly than presently defined. That should occur of course, psychologically, but would have to be reinforced societally.","The psychological shifts need to be recognized as necessary for the survival and contentment of humanity. Especially by those persons in wealthier societies, in freer societies.  I mentioned David Corden's cry, and many of his articles for the privileged ones on this planet needing to rein in our, and I use our, innocent greed and widen our ambit of compassion. So much of every person's life is determined by the shape of our genetic dice and the place of our birth. So, if that's part of what comes out of COVID for some people, as wisdom, I expect it will have some payoff in enhancing empathy. Or you might even call it Adam Smith's sympathy for the other, and the other not being confined to your local neighborhood, but rather, the planet and people of difference. And indeed, maybe we'll all start to recognize that everybody is in fact different, albeit sailing the same boat.","Again, two parts, and I'll start with societal. My major concern about negative change is a reduced commitment on the part of all nations, particularly the more advantaged nations to international institutions. The other is wars promoted by groups who are exploiting weakened military and legal resistance that internal political systems create, potentiating the possibility for internal political violence,  which we know from the work of Rummel, Richard Rummel is a far greater promoter of homicide, what he calls democide, then are actual wars between nations. The additional feature about wars that can be potentiated is that there's going to be greater third party indifference and preoccupation so that you don't get the mediating roles being played to the same extent as nations who normally might step up for this mediation role, are preoccupied with dealing with the COVID and their own economic collapse. And we haven't seen the worst of it yet. I keep thinking of the quote from Plato, ""only the dead have seen the end of war"". Well, the likelihood of being dead is increasing as a consequence of COVID not only as a consequence of the illness itself, the virus, but also the ancillary destruction of other institutions, locally, including the health delivery system, where many people are denied access to that system have problems other than COVID-19. Psychological negative responses: heightened nationalism, skepticism about the efficacy of science, and the rise in what you would call virulent fundamentalism or authoritarianism. Cynicism and a sense of despair are certainly growing in some quarters. Not all, because some people, of course, are more resilient than others. But a sense of cynicism knows no personality, very few personality loadings and is a consequence of your understanding of how the world works. And if we get cynical about how the world works, it's really going to turn off our willingness as individuals to reengage.","Well, for me, it's, it's basically that humankind must come to understand that we share the earth’s bounty and its vulnerability, both of those aspects of our being born. Secondly, good fortune is not fairly distributed locally, nationally or internationally ever and never has been. A third piece of wisdom is that contentedness is a better personal goal than happiness. Another piece of wisdom is that violence signals a need to reorganize our social systems, that we haven't got a workable solution for humanity, and that a workable solution just for our narrow room is not going to be viable, long term. And finally, emerging out of the Black Lives Matter movement we will always need an accountable policing force to keep one another in check locally, and also internationally. All of those are components of wisdom, as I understand it, that will give us a livable future. A human future, a social future together. ","It's not my own, but it's something that struck me when I first came across it. And that's a quotation from Benjamin Franklin, one of the signatories to the American Declaration of Independence, when they were forming the union among the 13 states at the time. Referring to the States, he said, ""we must all hang together or most assuredly, we will all hang separately"". I want to extend that from states of the union, to interpersonal connectedness and the unions we share with others, the connections, the relationships we share with others. Now, this is a pun in English of course, based on the sense that hang together means cooperate or work in conjunction with one another, to achieve joint outcomes. And the second hang in the expression deals with a form of capital punishment where you are taken out of the game because you didn't master the game. So it implies that there are consequences to not cooperating that we are often blind to see.  "
17-Jun-20,Ross,Male,North America,SC,"I can certainly say I don't have a clue but I can make some guesses with fairly low confidence. The two areas that I would think about and then I'll focus on one is inequality and care for older people in long term care homes and nursing homes. Both of which have been exposed during the pandemic. If I had to guess in which area we might get movement, I would say not inequality. I think inequality is a tough nut to crack and I'm not sure we're prepared to deal with it. On the other hand, there's a chance that we'll think more seriously about how we care about the frail elderly and that we will force governments to enact legislation and think about putting more funding into these contexts in order to prevent what should have been a totally foreseeable consequence in terms of the effects of COVID-19 and long term care homes. We shouldn't take for granted that of course, older people are going to die from this because the statistics are hard to come by. But if you look at some statistics that the CDC has put out recently, it shows that the incidence of COVID-19 among 60 to 79 year olds is actually quite a bit lower than it is among 40 to 49 year olds and 50 to 60 year olds. To you and me, that's not a surprise because we wrote a paper that says the same thing with respect to scams. And I think it's a similar answer. If you focus on, the human body and just talk about older people being more vulnerable and having more vulnerable immune systems and having other kinds of diseases that make them more vulnerable, of course, you're going to assume older people are going to be more vulnerable. But if you think about lifestyle, and you realize that older people often don't go to nightclubs and do the kinds of things that might expose them to this virus, older people living in non-institutional settings, can actually do reasonably well. So it's not just a function of age, it is a function of setting. And we have to do something about those settings. And I think there's at least a small chance that we'll do something.","You have to assume that it could happen again. We’ve been going along reasonably well, with not investing a lot in long-term care situations. And the public at least believes presumably that their loved ones that are in these homes are being well treated and being well looked after. If we assume that something like this is very unlikely to happen for the next hundred years or so, then we might be willing not to do the kind of investment we need. I think we have to assume that there's a chance at least in the foreseeable future, that something like this could happen again, and we want to ward it off.","One concern I would have is that the effectiveness of government leaders and of so called experts in the area of infectious disease has been mixed. There have been some locations where they've done splendidly and they're well regarded. But there are lots of other locations in which neither the experts nor the government, that perhaps relies on the experts, have done all that well in predicting outcomes. Don't wear a mask, you don't need to a wear mask, masks aren’t gonna prevent anything and then a complete turnaround. And they express gross views with such incredible confidence. They’re one hundred percent sure masks aren’t effective, wash your hands, don't wear masks. So what I'm worried about is a lack of trust, that we’ll come not to trust both experts and government officials in those provinces, states, countries, where they have frankly screwed up. And it's easy to say hindsight is 2020. And, how could they know? Well, some people did know. And in some states and some provinces, and in some countries, they did anticipate, and they did a lot better. So I think they should be held to account. But I'm worried there'll be a lack of trust, and the consequences of that can be very negative. It can lead to walking away from the political process, not leading to experts, it could lead to a lot of things short of violence and that are negative. Not voting, because what's the point? They're all useless. That's one of the things, again, with low confidence because I don't think you can predict worth a damn. ","One of the things they have to think about seeing seriously are, what are the alternatives? We need experts and we need government. But are there things that we can do to promote more effective governments to fund public health better and maybe have people who are more dedicated to looking at these things and no more? Maybe. So I think the realization that really, we don't have a lot of alternatives, and that what we have to do is try and make things better and not walk away from them. ","One of the things you have to do is, have something that you want to get out of bed for, a lot of that has been taken away from us, whether it's work or social life or whatever. You have to have a reason to get up, a reason to look forward to the day and that might require that you indulge in new activities. So for example, one of the things I'm doing is working on French on Duolingo."
6-Jul-20,Gelfand,Female,North America,SC,"I expect that we're going to see an increase in gratitude. When we've been faced with a collective disaster, we really begin to appreciate the small things in life that we've taken for granted. I think we're going to be more grateful for a variety of things, even for things, like eating out going to concerts, being able to hug our friends again, and our loved ones and even for speaking on a crowded subway. In that sense, I think it's going to produce a lot of collective gratitude.","We need to slow down, and just notice; notice things every day, the great gifts that we have in our lives that we really take for granted. I think many of us now are starting to keep gratitude journals to think, what are the small things up to the big things that we really realized that we should be noticing, first and foremost, that are so precious to us even, like I mentioned things that are small things like being able to sit outside with a friend, or hold someone's hand and hug people, we have to slow down, to be able to do that, the better off we'll be able to really kind of foster that positive change.","We’re going to need to find a way to forgive, the massive mistakes that we've made and to build trust, at least in the United States, where I'm located, in how we dealt with the pandemic. In the past, in our country, after 9/11, after World War Two, we really stood united. And we were able to sacrifice liberty for new rules, to overcome adversity. And this makes sense that when we experience a collective threat we need to come together. But during COVID-19, we saw a useless partisan conflict, great resistance in different parts of the country to things like wearing masks and social distancing, and we lost lives that could have been prevented. Have we been a stronger, more united culture and I think that we're going to need to really reckon with those mistakes.","I think about it as requiring a collective learning orientation. We need to really come together, understand and learn from our mistakes, which means that we shouldn't just look past it after we find a vaccine, we hope, when we start getting back to normal, we still need to really come together as communities discuss what happened, across multiple levels, whether its political, economic, cultural, so that we can learn from our mistakes and plan for what we can do better next time we face a collective threat.","What helps me is to think about it as temporary, and to have hope that we're going to be back to normal some day. If we think about it as temporary, and we have hope, that it can give us the patience that we need to do what's right now, and right now, it means basically following rules that will keep us safe. And I just have some sort of sense of solace that one day we'll be able to re-enter our normal ways of living. And having hope, I think really helps."
29-Jun-20,Bloom,Male,North America,Non-SC,"The most significant change could come from this pandemic, is preparation for the next pandemic. If the next pandemic is a bird flu, that kills over 50% of the people who get it, it could be a species ending event, could be the end of civilization. And if this pandemic leads us to prepare better for the next one. It could be the greatest blessing we can imagine.","Well, several sources of wisdom or several positive traits. We’ll need self-control to constrain our impulse to give it all up and not take precautions. We will need compassion for the people around us. Some who may be more vulnerable than we are, and will need most of all rationality, the ability not to be influenced by our prejudices and our biases, but instead think reasonably and rationally about a crisis that we find ourselves in.","The worst change that could come from this pandemic, which is plausible, and we see it, is xenophobia. We get very caught up in our own small group, and we are dismissive, or worse, cruel and accusatory towards other groups. We see this both in the political spectrum where Republicans and Democrats are responding very differently to pandemic and often in very ugly ways. And we also see that in a national perspective where countries are blaming other countries and not working together enough.","What will rescue people from this is actually a form of moral wisdom, is a recognition that we are all people, we all have equal rights, we all suffer the same, and that as moral decent creatures we do better by working together to combat a common problem, rather than to fight each other.","If I can give one bit of advice it would be to use our heads and not our hearts. I think our gut impulses are often xenophobic. They're often cruel. They're often panicked or not panicked enough. And I think we're going to get through this in the best possible way, if we just reason intelligently we think about others and we don't succumb to either bias or irrationality."
2-Jul-20,Dolan,Male,Non-North America,Non-SC,"For me, there's no doubt that the biggest benefit of lockdown has been the impact on the environment, the air is cleaner. And that's something that we can carry forward with us I think If we remind ourselves just how good that particular bit of experience has been, then maybe we can start doing something to mitigate climate change.","I think one prediction we can make now is that most of the predictions for a post COVID world will be wrong. What feels really important now, will quickly pass, we have very short memories, when end up by large being the people that we were before. So if you want to really make significant change, for example, in relation to the environment, we need to embed some of those changes right now. ","I think the biggest negative impact of the pandemic will be the policy response to shut schools. Not just the educational attainment and the widening inequalities that will come in that from schools being shut for significantly long periods, but the social interaction, the child development, all of those things that, I think, will show up in largely negative ways for many, many more years to come.",,
26-Jun-20,Niedenthal,Female,North America,SC,"I'm noticing that during this time, people are sitting with the details of their life, their families, their actual environment, their actual landscape, much more than they have done in the past, on average, and spending less time planning and constructing and anticipating an experience often somewhere else that they could possibly have to gain fulfillment or pleasure. For example, rather than planning a trip abroad that's filled with mishaps and standing in the rain and getting sick and potentially not having a lot of pleasure, but then deriving a lot of pleasure later when people give you social credit for doing that trip or where you can make it seem incredibly interesting. Instead of doing that people are walking to the store or making bread or discovering that the landscape around their home, whether it's urban or rural, is very beautiful. I think a benefit of that is that people continue to recognize the bottom up influences on their psychological wellbeing and their happiness as much as they recognize that happiness can be derived from social credit and from telling stories later about things that might elicit envy or just other kinds of social credit.","Daniel Kahneman has referred to this kind of distinction by using the terms the experiencing self versus the remembering self. The experiencing self, is that person who is deriving pleasure or fulfillment from the moment and from the details of one's life, whereas the remembering self is the person who is deriving pleasure from the recounting essentially, which is an interior or later or socially constructed form of pleasure. If people could learn about this distinction, and harness those two ways of deriving pleasure or wellbeing as two different kinds of resources, then they can later, when they're facing challenges to one or the other, focus or abilities or places to derive pleasure and wellbeing and meaning they could use those two different kinds of resources rather than, I would say, getting off kilter and only putting more time, resources or money into one rather than the other.","Because of my particular interests and research interests, people have noted a lot to me, what wearing masks over their faces does to them psychologically, and similarly, what working at home alone does to them and what they're referring to is deindividuation. So if you have a mask on your face, you don't really make eye contact with other people because you don't feel visible to them in the first place. Because much of your identity is gone. I pass people on bikes who I don't recognize to be my own neighbors. Our concern would be that these feelings of deindividuation also persist beyond this pandemic, where people are able to navigate in the social world with the feeling that nobody is really identifying them. And the costs that come with deindividuation are things like not feeling responsible for one's particular behavior or being unusually susceptible to social norms. So my concern is that this persists.","Recognizing and understanding the consequences of deindividuation. And that's part of the wisdom. The other part is to counteract it. So I recently was in a grocery store in a small town in the state that I live in, of Wisconsin. I noticed repeatedly now that the management there has told the workers who are wearing masks to make eye contact with other people wearing masks, which is most other people, and say hello and how's your day, while making eye contact. I feel like the manager of those grocery stores has the wisdom to counteract people's tendency to avoid eye contact and otherwise feel deindividuated. So the wisdom to be derived is the knowledge of the susceptibilities and negative consequences of deindividuation and the wisdom to counteract it by systematic social changes involving moments of individuation for other people.","I think that one piece of wisdom is to let go of righteous indignation. A big concern that I have is that the data about the pandemic and about its consequences and especially about its causes change daily and are extraordinarily difficult to interpret. Nevertheless, people are very quick to be righteously indignant towards friends and families and neighbors and other countries about the right behavior versus the wrong behavior. The consequence of that would be to lose really important relationships both within individuals and intergroup relationships. A piece of wisdom is to let go of that righteous indignation and recognize everybody's difficulty in interpreting the data and adopting the right social and health behaviors right now."
18-Jun-20,Nisbett,Male,North America,SC,"The only one that I feel qualified to speculate about is the academic impact, tele-academics that we're going to be having as an option. And there are positive and negative aspects, but the positive aspects. If you've got a class 75 people, the same two people raise their hand all the time. If you have got, everybody lined up and they say they can raise their hand without actually moving their hand, they just push a button and he can decide who to call on. So mix it up a bit, it isn't just the same two people with the shortest latency. Some higher education people are going to see advantages to that. And we’ll be inclined to use it I’m sure for lots of circumstances. Then at the elementary level, and probably also at secondary level as well, but certainly the elementary level, some children are saying now, I like this zoom education so much better than being in class, there’s not the chaos that you have in class, there’s not the jerks. At least for some kids, for some kinds of education, it's going to be a plus.","The wise thing to do is to get very serious about finding out what kinds of courses are taught to what kinds of people to the best effect. And it's a huge amount of research that needs to be done. Rather than people automatically doing internet communication or automatically doing classroom education, let's have some idea what kind of subjects and what kind of people it would make sense for. ","It’s internet education. There is something that goes on in a real classroom, that's superior, to what you can get, it's an immediacy, a clear reading of body language and facial expressions and so on, that gets lost. I worry that people will be using the internet education automatically without seriously thinking about it, which would be a big problem. The thing I most fear is that people will, if they have the option to get, their higher degree of BA be online for a very low price that many people will take it, who should not? Certainly if there's no way for you to get a really super college education, except through online means that's one thing. But if you are the sort of person who could afford to pay for college education or who could expect to get a scholarship for college education, then it's a huge loss not to do that. Your fellow students are as important as education, at any rate, who are extremely important. They're doing things. They can tell you what you said that’s stupid, and you can think then why is that stupid, and generalize from there. They can model intelligent thinking in all kinds of domains. So, a 1200 dollar online Stanford education is not going to give you anything like what the real thing can get.","You just need to do the research and find out what kinds of teachers, what kinds of topics, what kinds of students are best done online.","The most important thing is, what can I do that's safe. And, unfortunately, our public health people have been all over the map. Public health officials have said things that when they said them, I knew they were wrong in most cases, they come back and say, “oh, I'm so sorry about that, actually masks are a good thing, so sorry.” Six weeks of public health telling us masks can do no good."
18-Jun-20,CohenSilver,Female,North America,SC,"A few things that I expect will be different or at least, will have changed more quickly than we might have expected. First, I think that many people, certainly people who are, let's say, middle aged and older are embracing technology in ways that they might not have realized that they would be able to do, and do so quickly. Universities have switched very quickly to remote instruction, and individuals are communicating with their families and friends, across the country and across the world in ways that they might not have done so before the pandemic. I also think that individuals will newly embrace flexibility and understanding how to cope with loss of control, how to cope with isolation, to see the value of compliance factors that I think many people who encounter stressful life events learn, as they cope with crisis. And now, as we have a worldwide crisis in which we are embracing, many people will learn those skills and the value of those factors sooner than they might have otherwise done.","I think that people will need to recognize the value of flexibility and the value of compassion and the value of giving themselves a break, as they cope with these unprecedented times. I think that many people who've encountered tragedy before have learned the value of flexibility and compassion. But I think that now, many more people will be embracing and need to learn those values and embrace those values sooner than they might have expected to have to do so.","I'm most concerned about isolation, both isolation from one's loved ones and isolation amongst countries or within countries, not embracing the value of working with other people across the world. The necessity for isolation and lockdown across the world to prevent the spread of the coronavirus has led many people to lose touch with others, and again, it requires them an enormous amount of energy to reach out to others, the technology that we have available to us, but I am concerned about isolation and the psychological consequences of isolation and the societal consequences of isolation.","People are going to need to embrace flexibility and comfort with loss of control, comfort with ambiguity, and we'll need also to engage in reaching out to others when they feel distraught or when they feel particularly distressed, and people may need to reach out to their loved ones to ensure that they too are coping well.","I think the number one piece of wisdom is that we're all in it together. And that has been bandied around but I think that it is really the case that it is important for us to protect our loved ones, protect our friends, protect their neighbors, and in doing so we will protect ourselves."
18-Jun-20,Baumeister,Male,North America,SC,"One thing that people might hope for is that there will be a greater sense of social solidarity, that we're all working together. In our thinking about cultural change, there are changes that split and divide people and there are changes that bring people together. External threat certainly falls in the category of events that can bring a society together. So it would be in principle possible that coping with, this plague, this external threat, would be something that would increase members of the society's sense of finding something together. We might fantasize that it even would work at a global level, that we all around the world would realize, that as common humanity and with our common vulnerability to illness, we're all coping with the same problem. That's probably a bit much to hope for. But it could certainly work in countries that get through this by cooperating and working together.",I think stressing the common humanity would help us enjoy this unifying effect. We have to resist the temptation to blame each other or to expect the government to solve it or to look to divisive forces in our society.,"Clearly the economic damage is a serious concern, which could compromise our society for a long period of time and potentially stunt the careers in life courses of countless young people who are at critical stages in their careers and in their life development. Another related thing is that lots of politicians look at a crisis as something they can use to advance their own agenda. And the phrase “don't let a good crisis go to waste” means oh, there's a problem, now we have a pandemic and people are getting sick. But, this is a chance to advance our other goals that we may have had before the pandemic was even an idea or concern in anyone's mind, let alone a reality. So, what happens in many of these cases will be an expansion of government power, more structures, more bureaucracy, and people when they are worried they are more willing to give up some of their freedom, see to an authority, which will take care of them. Now, it's an illusion, in this case, it's not clear if the government can really take care of us, the pandemic is a disease, but that would be the natural human impulse. One of the big ideas in there is demosclerosis, that as a state goes on, decade after decade, that it accumulates a stronger bureaucracy, more getting tied into special interests, who use the government for their own benefit, and prevent the government from doing its job to produce the general welfare. ","I think one thing that psychological research shows is that the formula for self-destructive behavior is to pursue short term gain at long term cost. If we create an economic depression that lasts for years, that will cost lives too. Also do enormous damage to the quantity and quality of life that many people enjoy. Understand that your careers have critical stages. So if you reach the critical stage during an economic downturn or depression, you don't have the opportunities to move up that you would have if when times were good. Society recovers, and the job opportunities open up again at some point, but then they go to the younger people. And so if you were at that critical point at that time, even though the effect of the depression is temporary for society, it's permanent for you. We also have, we have the idea that by staying home, we can save people's lives and well it does certainly reduce transmission of the pandemic. But, it's easy to not notice, there are other costs too. If people are not going out for thier routine medical care, there'll be less cancer screening, there'll be less all sorts of minor things that can help people live better and longer lives. And so deaths may increase. I've seen some people estimated the long term costs and death from other causes, from things that are neglected during the pandemic could outweigh the death toll of the pandemic itself, especially if you make adjustment for the people dying from it are mostly people who are old and sick and so the number of months of life lost might be smaller for them. Be aware of the tendency of the mind to focus on short term problems and neglect long term future ones which are vaguer and less palpable, but down the road may end up being more costly. ","Back in the 90s, when my research was settling into the two major programs that have guided it ever since I did a project on the side to review an article called Bad is Stronger Than Good. I'm convinced this is one of the basic patterns of the human mind. That it focuses more on negative things than on positive things. And so, in terms of understanding the pandemic and the problems we're having with it, yes, it's a real problem. I'm not saying it's not. People are getting sick, some people are dying. But, almost certainly, we are overestimating how bad it is. That's just how the mind works. And my fear is when its a collective thing, it probably escalates even more than when it's a private, one person sort of thing. Because people will see the alarm in each other and a lot of people who are overreacting will fuel each other's fears and produce a spiral of ever greater overreaction. So, again, I'm not trying to say it's not a serious problem. Yes, people are getting sick, and some are dying. But understand that it's a property of the human mind to overestimate the problems and the danger and the downside."
