"","estrangement...alienation_q3","career.disruptions_q3","decline.in.quality.of.education_q3","decreased.trust.in.science_q3","decreased.well.being_q3","economic.hardship_q3","educational.inequality_q3","erosion.of.democratic.institutions_q3","exacerbated.social.inequality_q3","mistrust_q3","prejudice...racism_q3","despair_q3","prioritize.self.over.others_q3","irrationality_q3","loneliness_q3","misperception.about.the.world_q3","political.conflict_q3","authoritarianism_q3","stunted.child.development_q3","pessimism_q3","intimate.relations_q3","autobiographical.memory_q3","social.awareness_q4","balance.of.personal...others.interest_q4","solidarity_q4","context.sensitivity_q4","bipartisanship.and.international.cooperation_q4","critical.thinking_q4","evidence.based.decision.making_q4","gratitude_q4","optimism...positivity_q4","improve.communication_q4","long.term.orientation_q4","social.support_q4","social.connectedness_q4","acknowledge.uncertainty.flexibility_q4","living.in.the.moment_q4","patience_q4","perspective.taking_q4","self.reflection.on.what.s.important_q4","shared.humanity_q4","strive.for.socio.economic.equality_q4","sympathy...compassion_q4","political.engagement...structural.change_q4","self.distancing_q4"
"prejudice...racism_q3",-0.214391218646591,-0.131862749451012,-0.0572829709384132,0.219210807896114,-0.0951509357478469,-0.149646615210521,-0.161370693153928,-0.11691570929467,0.0975462496553538,0.132751524757145,1,-0.119165821402489,-0.100338995227512,0.117181859002108,-0.131693538057724,0.0961820422638213,0.170220977743578,0.16272144541726,-0.142530236090415,-0.00178273187162275,-0.0631215702194498,-0.0333372845850911,0.107138195475608,-0.0826812084419124,0.00202296199478742,-0.055388150608586,0.194810925380861,0.20392995269037,0.136189727394825,0.238486492158564,-0.0982463867641502,0.0530614504070983,0.0264200862257048,-0.184944997668609,-0.22296932861293,-0.0764704150947421,0.0725146991225069,0.175302393871596,-0.174405916482757,-0.00718775041139285,0.203845389172754,-0.0135857308686252,-0.22249099694413,-0.11229223305894,0.262644340396844
"despair_q3",-0.0866819552303215,0.237991453777943,-0.0487142610123282,0.171034745615424,0.11992200984146,0.37762247913172,-0.0453154754346085,0.108990778323423,-0.101929906394408,-0.125124806100498,-0.119165821402489,1,-0.07660344119997,-0.0769793104597457,-0.0875602159252061,-0.0792894596596237,0.0751451163113662,0.157892243715861,-0.0494233523770384,0.287103096140424,-0.0693397689695246,-0.0330044968573279,-0.0775890285127255,-0.0631994836589744,-0.104587454837866,-0.0786796011508059,-0.0763073300415879,-0.0758446023884731,-0.0507334090942897,-0.0396393482050553,0.393902417958984,-0.0896861293013204,-0.130237600282937,0.417283321500257,-0.0950900079631331,-0.0776455070284384,-0.066390686610066,-0.0599145531265193,-0.0623662347392434,-0.0681436693294875,0.196765639062895,-0.0546840496923381,0.107634967498117,0.0645098981740417,-0.0723318980335745
"prioritize.self.over.others_q3",-0.0824319567006459,-0.076407948198826,-0.0487111811953075,0.165135592838869,-0.137725526881251,-0.143631442924932,-0.0271960194781415,-0.153786758256327,-0.102428828145781,-0.128773514497628,-0.100338995227512,-0.07660344119997,1,-0.087646528207041,-0.0959393748296403,0.218803890526221,0.274843399019349,-0.0875554057273098,-0.0434225201038513,-0.120294835527084,-0.0838699440549762,-0.0360244122918272,-0.0856939041563079,-0.0683786444092201,0.14939781718294,-0.0900906291154082,-0.074666452002179,-0.0748573378063099,-0.0481786035893971,-0.0356501002525784,-0.0354369118725928,-0.0999337334851788,0.0854904038658468,-0.124106898971967,0.189230335700063,-0.0691222459897815,-0.0660474599833189,-0.0658756769578487,0.236946005073771,0.253855465701238,0.19535123961941,-0.0405935018650998,0.107874506434656,-0.137801121733037,-0.0744542549609011
"irrationality_q3",-0.0826275472761483,-0.0756051686448561,-0.0424911902859025,0.169803694771573,-0.129457460285243,-0.141815848793717,-0.0224988962349726,0.0941208212452478,-0.0980818107760201,-0.134146093113755,0.117181859002108,-0.0769793104597457,-0.087646528207041,1,-0.0942045931958368,0.211569934426101,0.0731426926902645,-0.0830938110155052,-0.0436160261024172,-0.113450686087848,-0.0827710300425183,-0.0332149547022116,-0.0818438071045535,0.295999617839633,0.150141846844084,-0.0832067806852892,-0.0788719037962556,-0.0732656597165426,-0.0444148050352304,0.578800206413337,-0.0338519438863482,-0.105661314879257,0.0832708312164673,-0.125103421887839,-0.103276182832372,0.213986628948648,0.37931355911064,-0.0665156523276703,0.239034147313391,-0.0657306656439905,-0.0877756123679648,-0.0432431066055108,-0.111739493245505,-0.1335743429325,0.554594205569075
"loneliness_q3",0.459153303398566,-0.0961638201004151,0.205546687064333,-0.12825112421555,0.0191089830696755,0.0406693627082177,-0.0836621372528086,-0.17615365624609,-0.146659711824025,-0.148530440006048,-0.131693538057724,-0.0875602159252061,-0.0959393748296403,-0.0942045931958368,1,-0.089431577943626,-0.173050840310053,-0.127142506900049,0.213621535308264,-0.126629665870427,0.261458620332101,-0.0496966526481861,-0.108674397415374,0.193023896610235,-0.134496606821298,-0.116592690673245,-0.0903572257148455,-0.105457038694091,-0.0791545726638053,-0.0376449810779425,-0.0595591698071936,-0.0968357477631267,-0.161620302358747,0.0714696451123443,0.340869259053121,0.134025857083879,-0.0635201141845538,-0.0740611102539627,0.133049263342895,-0.0841187660140561,0.110666521633439,-0.0733838164455904,-0.152163490229255,-0.0299071085355181,-0.09756769991576
"misperception.about.the.world_q3",-0.130941926962999,-0.0856760282620256,-0.0389537841588254,0.341148938470258,-0.077118605565567,-0.108902849718042,-0.0900234657843573,-0.0926657865477962,-0.118743933484333,-0.185255250742553,0.0961820422638213,-0.0792894596596237,0.218803890526221,0.211569934426101,-0.089431577943626,1,0.0195307302865054,-0.0975611682752506,-0.0846882878338066,0.282719091517904,-0.0507202434611028,-0.0244840915054846,0.186557335030107,-0.0570784157156193,-0.112012581739752,0.211753704338187,-0.127639710759172,0.128310580570952,0.231101574495321,0.404510628001849,-0.0589561390176289,-0.120598760709629,0.0125529000345315,-0.12401867936098,-0.139799675651813,0.0772863209099399,0.232556478793764,-0.0687732315365642,0.129191852982233,-0.124560225671866,-0.102283493793576,-0.124758776929462,0.0364030689497702,-0.154705952459832,0.163043078166218
"political.conflict_q3",-0.192606920453146,-0.148121970644482,-0.139843049748679,0.248709488969376,-0.117226178690699,-0.078739537020026,-0.170834405224388,0.0215326448658516,-0.114023009297037,-0.0954533611875816,0.170220977743578,0.0751451163113662,0.274843399019349,0.0731426926902645,-0.173050840310053,0.0195307302865054,1,0.20935207055034,-0.118660282512155,0.26550465995403,-0.114806162889109,-0.0784698516671873,-0.165967639543772,-0.140930941592268,-0.0490406971990814,-0.17777923896924,0.217980758770253,0.149332533548044,-0.136574336378223,-0.0572005574102019,-0.104809313916774,-0.128579963917964,0.0119776558508946,-0.198033422049513,-0.164785156669783,0.00982625764031778,-0.088268779068829,-0.107300724486526,0.157549399003954,0.219091129151986,0.468843852781758,-0.136757445329841,-0.117758496723317,0.0409183803055646,0.201530532912296
"authoritarianism_q3",-0.155212223151625,0.10155005470049,0.118271228956358,0.0221708722898929,-0.0332103540250913,0.024990541467066,0.0283243054553223,0.149661763983496,-0.200637874919057,0.00625454063835764,0.16272144541726,0.157892243715861,-0.0875554057273098,-0.0830938110155052,-0.127142506900049,-0.0975611682752506,0.20935207055034,1,0.144085436023091,0.149288001209147,-0.0699660533074102,-0.0662841691615531,-0.12958077210171,0.132672268305241,-0.139984909551557,-0.144591225809831,-0.0958509616810233,0.0531042528861676,-0.123394542334049,-0.0278358814231257,0.204637738873961,-0.0622282494621095,0.139343293656176,-0.129892449130521,-0.105219674852434,-0.11199592450138,-0.0363263172894985,0.226753292601394,-0.154766209057682,0.111644098648594,0.0621806500570865,0.100437488752819,-0.191845794399469,0.168866908888091,0.0944858147405699
"stunted.child.development_q3",-0.101928269160088,-0.0650290624749769,0.657622168075697,-0.0811984672320269,-0.0889520637712832,-0.0706488290919173,0.483247206459422,-0.0796588268533176,-0.115971360803349,0.121690961617381,-0.142530236090415,-0.0494233523770384,-0.0434225201038513,-0.0436160261024172,0.213621535308264,-0.0846882878338066,-0.118660282512155,0.144085436023091,1,-0.0303658674071384,0.411211212462982,-0.032624234471596,-0.0514238583315811,0.820662379920891,-0.0593783266402572,-0.0508066883618803,-0.0571826860592142,-0.0701480622487252,-0.0594525947481912,-0.0281714791759841,-0.0495681278748979,-0.0301825527010878,-0.0796595583287842,-0.0548922081402631,-0.0567305415398816,-0.0746160017602136,-0.0329647247123168,-0.0310735449379899,-0.0856309229904979,-0.0644973883262052,0.27951504270909,0.30643571807432,-0.0931391407397597,-0.112016149020813,-0.0569684878093347
"pessimism_q3",-0.0749085250431539,-0.0915559897993649,-0.0779847261142186,0.137260943101486,0.0335600851906236,0.0652876825771592,-0.00706277974624811,0.0188159905681481,0.108661014082265,-0.118466498101249,-0.00178273187162276,0.287103096140424,-0.120294835527084,-0.113450686087848,-0.126629665870427,0.282719091517904,0.26550465995403,0.149288001209147,-0.0303658674071384,1,-0.125511097520347,-0.0567672472174659,0.21038403483221,-0.0982743515394267,-0.146428550854351,0.190416526935446,-0.05520313752947,0.218264535931732,-0.0607093204972022,-0.000483615356838633,-0.0338550970345691,-0.102207430433207,-0.152170810005752,-0.153049627728939,-0.0917604388758152,-0.0277620843716299,-0.0287207614976186,-0.0793585743105393,-0.0410120003151089,-0.0358609134458193,0.196092285345104,0.00209290550822949,-0.129422200638427,0.0415143502843258,-0.0870041933458811
"intimate.relations_q3",-0.0616349344139325,-0.0655609178454149,0.410087469069736,-0.0875280665332031,-0.129373637830963,0.171943099824419,-0.000167700541225379,-0.147895423847002,-0.0818847658810413,-0.109269482874607,-0.0631215702194498,-0.0693397689695246,-0.0838699440549762,-0.0827710300425182,0.261458620332101,-0.0507202434611028,-0.114806162889109,-0.0699660533074102,0.411211212462982,-0.125511097520347,1,-0.0316690121881294,-0.0771115490651202,0.380966677110144,-0.10396530437679,-0.0835728464899999,-0.0593825246974056,-0.0587152577373804,-0.0348820229034988,-0.0258552237434817,-0.023243903657366,-0.0935746846911135,-0.120885011263965,0.211753062628675,-0.0850028612004662,-0.0474902253749405,-0.0551651868712239,-0.0599422315659054,-0.0306075217566437,-0.0444233522985484,0.271494441297929,-0.0174582165605426,0.177746406681663,0.130678437184674,-0.0620427407323179
"autobiographical.memory_q3",-0.0524857123330658,-0.0415064959007425,-0.0515358519201084,-0.0628723044081313,0.321745948174514,-0.0615397897670516,-0.0590457387088447,-0.0778745900850064,-0.0744812844901484,-0.0481944555750964,-0.0333372845850911,-0.0330044968573279,-0.0360244122918272,-0.0332149547022116,-0.0496966526481861,-0.0244840915054846,-0.0784698516671873,-0.0662841691615531,-0.032624234471596,-0.0567672472174659,-0.0316690121881294,1,-0.0522199557991799,-0.0450086729309947,-0.0540083604683344,0.479964857294712,-0.0290834003778071,-0.0502870021318319,-0.0454815033824395,-0.00250351411066752,-0.03237169277367,-0.0209661264051289,-0.0594006404677885,-0.0497807178126486,-0.0344315951010694,-0.0306556277404411,-0.00462226379799221,-0.0268519757682811,-0.0518865076590175,-0.0308090814699357,-0.0483143974024537,-0.0330815299047498,-0.0694137702801778,-0.0896669748985361,-0.0437447186410413
"social.awareness_q4",-0.10959262348116,-0.089846500822087,-0.0920844982689829,-0.128091147180638,0.0387154257045532,-0.143553108171625,0.262673312154671,-0.169734152089208,0.270177275677944,0.0740014812883164,0.107138195475608,-0.0775890285127255,-0.0856939041563079,-0.0818438071045534,-0.108674397415374,0.186557335030107,-0.165967639543772,-0.12958077210171,-0.0514238583315811,0.21038403483221,-0.0771115490651202,-0.0522199557991798,1,-0.0835337733179148,0.11717501620696,0.166423817759827,-0.0752485227668974,-0.0927421612882543,-0.0769875957498184,-0.0161715556024014,-0.0552668875446572,-0.07501304707125,-0.135268335370065,-0.109531829769752,-0.090177249486669,-0.0650125945767995,-0.029812332881847,-0.0588404495314418,0.164025643669821,-0.0730930180220559,-0.0950223014122313,-0.0580773281302211,0.251482566120437,-0.00619512951511359,-0.0840432038679208
"balance.of.personal...others.interest_q4",-0.0958807769034189,-0.0757703005206161,0.646248395639911,-0.108774941831328,-0.144232683438799,-0.115022475312826,0.308380855642586,-0.138303902712846,-0.121045626922998,0.123678687553052,-0.0826812084419124,-0.0631994836589744,-0.0683786444092201,0.295999617839633,0.193023896610235,-0.0570784157156193,-0.140930941592268,0.132672268305241,0.820662379920891,-0.0982743515394267,0.380966677110144,-0.0450086729309947,-0.0835337733179148,1,0.169454224140467,-0.0956103441869544,-0.0629079562214562,-0.0810144151683178,-0.0694810618847182,-0.01217140891802,-0.0503876892068343,-0.0562333959608079,0.100383790044233,-0.0876588591607368,-0.0730620508371864,-0.0566316660408754,-0.0206266209683321,-0.0473491220497158,0.205617076385656,-0.0634776824504788,0.200320890874105,0.2621906678999,-0.112990744927735,-0.150148367547014,0.238691157157763
"solidarity_q4",-0.133514029524266,-0.111380183915717,-0.0841341805822587,-0.144049578942029,-0.0148209046057068,-0.187778781289834,0.229209754201848,0.149740163803167,0.359950881964375,-0.0183489339334476,0.00202296199478742,-0.104587454837866,0.14939781718294,0.150141846844084,-0.134496606821298,-0.112012581739752,-0.0490406971990814,-0.139984909551557,-0.0593783266402572,-0.146428550854351,-0.10396530437679,-0.0540083604683344,0.11717501620696,0.169454224140467,1,-0.117165182164251,0.0940687894447003,-0.106554371347557,-0.0748888148405703,-0.046792325618805,-0.0569675896545227,-0.130810617259381,0.122740879591051,0.0401767318016111,-0.137324510350987,-0.0999808915577227,-0.0801682483286569,-0.0817530849402679,0.120358724909409,-0.102448417232567,0.0873581468696644,-0.0721894001156813,0.162986367256169,-0.199135351007098,0.125871681691359
"context.sensitivity_q4",0.325195502461431,-0.0941170839202245,-0.111498617437416,-0.144743695659215,0.442664055634999,-0.153846289004086,-0.0846438487248618,-0.192220137282092,-0.15321256126786,0.0903543687653338,-0.055388150608586,-0.0786796011508059,-0.0900906291154082,-0.0832067806852892,-0.116592690673245,0.211753704338187,-0.17777923896924,-0.144591225809831,-0.0508066883618803,0.190416526935446,-0.0835728464899999,0.479964857294711,0.166423817759827,-0.0956103441869544,-0.117165182164251,1,-0.0640580310334733,-0.0986510139110242,-0.0886995892751966,0.00204398231167862,-0.0600974990410795,-0.0611207055952105,-0.132118996910906,-0.110133573497081,0.154810793157852,-0.0488820689026047,-0.00462891947164442,-0.0587644692177851,-0.0929042640587541,-0.0634275091047946,-0.0993282157112033,-0.0493237963026256,-0.138694598487224,-0.189566091315334,-0.0888013483223726
"bipartisanship.and.international.cooperation_q4",-0.114377639515167,-0.0816179887804069,-0.0452306678642194,-0.0877655695008298,-0.0982556388901625,-0.117312465536296,-0.0493889621798931,0.100174032625864,0.0985304301062464,0.0350415967130681,0.194810925380861,-0.0763073300415879,-0.074666452002179,-0.0788719037962556,-0.0903572257148455,-0.127639710759172,0.217980758770253,-0.0958509616810233,-0.0571826860592142,-0.05520313752947,-0.0593825246974056,-0.0290834003778071,-0.0752485227668974,-0.0629079562214562,0.0940687894447003,-0.0640580310334733,1,-0.0933177141515515,0.225106357844983,-0.0710600370835028,-0.0534887899372177,-0.122619982709661,0.337672631082179,-0.122371294637579,-0.134704635418738,-0.124671195860183,-0.104929762104923,0.275454312904194,-0.0898391598259868,-0.115199001264925,0.123745348881626,-0.0983479406030976,0.0392849393978801,0.29405306137255,-0.0849924253893116
"critical.thinking_q4",-0.132672011983332,0.151731033156509,-0.0973021811994428,0.0826062867824495,-0.151570823759038,0.273490628180143,-0.111543338355741,-0.143068044648396,0.0321300736603427,0.0379636773828851,0.20392995269037,-0.0758446023884731,-0.0748573378063099,-0.0732656597165426,-0.105457038694091,0.128310580570952,0.149332533548044,0.0531042528861676,-0.0701480622487253,0.218264535931732,-0.0587152577373804,-0.0502870021318319,-0.0927421612882543,-0.0810144151683178,-0.106554371347557,-0.0986510139110242,-0.0933177141515515,1,-0.0879017388605434,-0.0331399783599879,-0.0690658584869886,-0.0722631802635704,-0.14097413759044,-0.102124224304908,-0.100326628064194,0.128007697665997,-0.0448238191299521,-0.0562715077846422,-0.114936932234998,0.12417144876583,-0.0998023887971236,-0.0957560597962017,-0.143982203198913,-0.185645689661747,0.154127211622796
"evidence.based.decision.making_q4",-0.105905291131522,-0.0715881791140611,0.270069481025703,0.160277858835384,-0.127404446827739,-0.0826807005478795,-0.120063354300257,0.134902328301564,-0.131192307984385,0.140306260189095,0.136189727394825,-0.0507334090942897,-0.0481786035893971,-0.0444148050352304,-0.0791545726638053,0.231101574495321,-0.136574336378223,-0.123394542334049,-0.0594525947481912,-0.0607093204972022,-0.0348820229034988,-0.0454815033824395,-0.0769875957498184,-0.0694810618847182,-0.0748888148405703,-0.0886995892751966,0.225106357844983,-0.0879017388605434,1,-0.00834735621709609,-0.0630376046926335,-0.0262278426370938,0.119040046546486,-0.0635213218634311,-0.0587163601632012,-0.0640514519743405,-0.00471056033366312,0.399395496493708,-0.105644094945393,-0.0696598895873828,-0.0761860788885452,-0.0787760400305147,0.103542742033824,0.0381080964258341,0.240835271272842
"gratitude_q4",-0.0563559416157214,-0.0368823377483882,0.00452644116288701,-0.0237876957459897,-0.0145437783203744,-0.0516476505270336,-0.00213131043391377,-0.0324071051677135,-0.0331236991237606,-0.102431458483025,0.238486492158564,-0.0396393482050553,-0.0356501002525784,0.578800206413337,-0.0376449810779425,0.404510628001849,-0.0572005574102019,-0.0278358814231257,-0.0281714791759841,-0.000483615356838626,-0.0258552237434817,-0.00250351411066752,-0.0161715556024014,-0.01217140891802,-0.046792325618805,0.00204398231167862,-0.0710600370835029,-0.0331399783599879,-0.00834735621709609,1,-0.0154837310213743,-0.0804644370648742,-0.0825772028476958,-0.0591349281686876,-0.079035949304702,0.412994433354296,0.688504946964784,-0.0327570630145779,-0.0282979022702128,-0.0649529188400642,-0.0396257246702668,-0.0529563075652212,-0.0500867417913291,-0.0510317048785479,-0.0322025531116399
