Domain,Domain_B,Full_Name,Name,Preamble,Positive,Negative,Q1_Outside_CC,Q1_Outside_OM,Q1_Outside_Final,Q3_Outside_CC,Q3_Outside_OM,Q3_Outside_Final,Dialectic_CC,Dialectic_OM,Dialectic_Final
Judgment & Decision-making,Social Psychology,David Dunning,Dunning,,"I think some people, and a lot of kids, are being exposed to how you think about information? How do you think about data? How do you think about evidence, and more to the point, how do you do it in a scientific way? What does science look like? What does gaining information or knowledge in a completely new situation, where there's tremendous uncertainty, and where the story may change from week to week as we learn more, a lot of people are going to be exposed to that. I imagine much like a lot of my generation went into science because of Sputnik, a lot of people are going to go into health and science because of this situation.","A negative consequence of the pandemic is all this media we're being shown, that shows us people not on their best behavior. It shows conflict. And remember that conflict is highlighted on the internet, because well, conflict attracts eyeballs. People who do drama have known this since the Greeks. What also attracts eyeballs is incredibly outrageous behavior. I don't know how many videos I've seen of people massively upset because you've been asked to wear masks in the local supermarket. They're outrageous. They can make you angry. But they could also give you a tilted view of what's really going on with people, what people are really doing. You may focus on the person not wearing the mask and being upset, but you may not notice all the other people in the store wearing the mask that they've been asked to wear. So one of the negative things that we have to be cautious of is not letting, or being shown, about what's going on in the world, to mislead us about how people behave, we can become cynics when a lot of people are acting in a very non cynical, very cooperative way. ",0,0,0,0,0,0,0,0,0
Forecasting,,David Passig ,Passig,,"Well, it's it's very hard to do is such a prediction at this very early stage of the pandemic. Most of the people think this is the end of the pandemic, in about a couple months, we're going to have a vaccine or something like that. But actually, we are just at the very initial stage of a very long crisis that might take between three to five years. But we know from previous kind of pandemics, that at the beginning, people tend to lose confidence in their leaders, they tend to be very aggressive towards other groups. And they tend to be melancholic about almost anything in their surrounding. But about 5 to 10 years after such a crisis, we know that people regain confidence, they are trying to restart the new thinking about their social paradigms.One of those consequences is that people will be much attentive to understand how connected we are as a species.They will understand how we are in a kind of symbiosis with each other, we are not just, you know, affiliated. Those kind of terms, affiliation, be part of a group or sharing will be probably old terms of understanding how we connect with each other. Our connections are much, much deeper, they go through very deep layers of existence and that consciousness will be a much more spread across very different kinds of social groups, etc, etc. So, this is what I can say at this point. ","In the short term, which is in the next 5-10 years, we're going to see hate crimes skyrocketing. We are going to see unusual leadership that is going to take over a democracy.We're going to see leaders that are self-confident, that they will be able to do things that others are not able to do and we're going to see some characters that are going to be very colorful in the leadership area worldwide in different places, specifically in democracies.",1,1,1,0,1,0,1,1,1
Business & Leadership,,David Rooney,Rooney,,"Yeah, I mean, that's a really interesting question. And it's one that's caught my interest right from the start of the pandemic. And because, you know, I'm a business school prof, I'm really interested in what happens in the workplace. And with social distancing, and people working from home and working, you know, in virtual teams, or whatever it is. And what I'm seeing here in Australia is that for a decade or more now, workplaces have been very reluctant to allow people not to work from home. But we've seen so many positives coming from it, that it seems like that natural resistance that managers have - to allowing people not to come into the office to work, has finally kind of worn down. And so, there's much more openness about doing that. And I like it for a number of reasons. One is that we know that psychological outcomes in workplaces at the moment, around the world, are not very good. And we see anxiety, depression, mood disorders, generally, as really high-level characteristics of workplaces and the toxicity that we see in the workplace these days, which comes from hyper competitiveness, and neoliberal economic ideology, and so on. And so I think, in the long term, having kind of broken that, that umbilical cord that sees managers and business leaders wanting people to be stuck forever, and in the workplace at their desk, so that they can be controlled and observed, and all of that sort of stuff... is finally perhaps going to be a thing of the past. And that's got to be a good outcome for people's general mental health. But also, it helps people, you know. We all have busy lives, we're dealing with, with career and family and our social life and having that additional flexibility so that we're not spending, you know, let's say up to four hours a day commuting, has got to be a good thing. [So I'd say. But I'd say the one significant downside to that is is the potential for social isolation. So I think that that that's a fairly brief answer to that problem. Or to that to your question, and I think it's actually a really good outcome that we've seen.] ","I'm going to focus here on anxiety. And I think this is a big issue for us. Because you know, with we live in a world, we have lived in a world, where we have unlimited amounts of data, unlimited amounts of information, and our capacity of crave knowledge is unprecedented in human history. So we're kind of used to knowing everything. So we're used to certainty. And we've become the kind of lazy and inexpert coping with ambiguity. And so I think there are some real questions about anxiety. And John F. Kennedy said, in the midst of the Cold War, you know, the only thing we have to fear is fear itself. And, you know, I think some of the, some of the negative behavior we're seeing in relation to people dealing with COVID is ultimately links back to: ""Oh hell, you know, we've got this pandemic, we don't really know how to deal with pandemics. We're afraid. We don't understand this virus, the science is not in on it yet. What the hell do we do? We're not in control of this."" So there's a big set of questions there about fear of fear itself for me. this extends beyond the workplace into our daily lives. And if I'm looking at some of the aberrant decision making that is going on in political leadership around the world, where we're seeing prime ministers, presidents, who just not grasping with the problems that are in front of us, I see a certain level of anxiety in those people as well. And that then leads to poor decision making, or unwise decision making as you and I might think about it. And I guess, if we scale that up to a social level, I think one of the problems we're already seeing, but which I think is going to get worse as we progress, is the falling apart of social cohesion. And you know, we're seeing that in the US in particular. And we've seen identity politics rise and it whole ingroup outgroup dynamic rise. There are people now who are sort of pigeon-holing research knowledge as something that people on the left of politics believe. And charismatic narcissism is something that conservative people believe in, and nothing good can come from that. I mean, this is an unwise society written very broadly in the sky, and I think it's actually very dangerous. And we've seen an erosion of the fundamental democratic values. I do see that as very serious and you know, in the way it links to populist, charismatic narcissistic leaders, whose position in politics is really based in  dividing people and, you know, what they call in politics ""dog whistle politics,"" where you inflame people's fear of the unknown, or fear of the other, the fear of different groups in society that have different points of view. And I think it's something that we just desperately have to acknowledge. And then get on with dealing with, so I think that  that's, this is kind of, I think, where I feel particularly worried, going forward, and where I feel particularly concerned that we need, we need to change the conversation and say that wisdom is not just an individual level phenomenon, it's also a group or a community or a society, a society-wide phenomenon. [And those of us who are interested in this area need to start putting our heads together and coming up with solutions and putting them out there in the public as well as in the scholarly literature through venues like yours. So you know, the online wisdom, podcast, I think, is just a terrific thing. And you know, I really want to congratulate you and Charles on doing this. It's really marvelous. And I think we need it and we need to make these kinds of discussion, the sorts of things that people talk about over breakfast.] ",0,1,1,1,0,1,1,0,1
Neuropsychiatry,Wisdom,Dilip Jeste,Jeste,,"The COVID-19 pandemic has psychologically affected every single person in the US. We all personally know of somebody else who tested positive for coronavirus. The COVID-19 has impacted lives outside of physical health also. For example, having to work from home or having to take care of children who could not go to their schools. Thus, this virus has an adverse impact on the whole population without an exception. This is unprecedented in the modern times. Probably one positive effect of tears could be that everybody will feel empathy for others who are affected more severely no matter where they live, or who they are. 
","I worry that the political polarization that we are observing today in the US and the world will only increase. The recent US election was viewed as having winners and losers. And this categorization didn't apply only to the candidates. It also applied to the supporters. And these two groups are nearly equal in size. It is like the West Side Story's Jets and Sharks. The watch word is revenge by the losers. As Mahatma Gandhi said: ""an eye for an eye leaves both people blind."" The current political division is also splitting families and friends. And this is becoming a vicious circle.  ",0,0,0,1,1,0,1,0,0
Evolutionary Psychology,Motivation,Douglas Kenrick,Kenrick,,"You're probably going to see an increase in relationships between kin because those are the people now that we're spending more time with. We're concentrating on a smaller number, instead of hanging out at bars with 50 people, we're now hanging out with smaller groups with people and the easiest people to hang out with are your kin because we feel most comfortable around them, we see them most frequently. Tighter family relationships would be the most positive outcome of this.","There’s going to be more aversion towards outsiders. The sort of the standard Mark Schaller stuff that shows that when people are concerned about disease, they're especially likely to want to distance themselves from people, from foreign places, and that's particularly true of foreign places that they're not familiar with. Americans and Canadians will probably get over the border between us. But people from strange exotic places are going to experience more prejudice by people from other places. And so I think there's going to be more ethnocentrism, not necessarily ethnic, but kind of, geocentric, there's going to be more geocentrism. We're going to like the people around us and be averse to hanging out with people from faraway foreign places.",0,0,0,1,1,1,0,1,1
Philosophy,Moral Psychology,Edouard Machery,Machery,,"Some people will discover the pleasure, or maybe happiness of being with one another. So we've spent so much time alone, or maybe with a few people, a few relatives, that we are all craving for spending time with a larger group of relatives, with our friends, but also beyond friends and relatives, with people around us, people who happen to share the same community. We’re going to be rediscovering the fact that we are social animals or maybe political animals, as Aristotle once told us.","I'm mostly worried about despair at a social and psychological level. Many people have lost friends, more than 100,000 people in the US only have died and much more, of course, all over the world, several lost relatives, and sometimes they've lost those people without being able to see them. Many people are without a job. And many people have had their dreams crushed, because they had to close their job, because they've been fired, and so on. Many people are on the brink of despair. That’s what worries me most for the months to come and maybe even years to come.",0,0,0,0,0,0,0,0,0
Disaster & Emergency Management,,Eric Kennedy,Kennedy,,"I think there's the potential for renewed enthusiasm about the importance of face-to-face meetings. When I'm talking with colleagues and students, I get a sense that they really miss in person trust building and relationships and interactions. And so, I think there's the chance for renewed vigor with those.  ","Negative outcome I worry a lot about is the divergence between different groups in society. I worry a lot about the way that this pandemic has created worlds in which there are those of us who are privileged who can work from home, who can control our risk, who have lots of medical support, versus those who are more exposed to work in in central roles in the front lines, and who don't have that ability to work from home, who sometimes are in much more financially precarious positions, and historically have often not been granted the same kinds of powers in society. And so I'm really worried about what economists have talked about as the case-shaped recovery, right, the splitting between the rich and the poor. But not just in economics, in every facet of our lives, in terms of who has power, who has voice, who has a risk exposure, all of those elements.  ",0,0,0,1,0,0,0,0,0
Personality,Wellbeing,Evgeny Osin,Osin,,"The most important positive change is concerning the ways we communicate and cooperate when we strive towards common goals. During this lockdown, we have learned to be more flexible and more efficient, and many work events and activities that were thought of as quite indispensable, are now appearing less necessary and they can be more easily organized online. We have also learned to be more tolerant of one another to accept the unavoidable limitations in ourselves, in our colleagues, in our significant others, and being reminded that our powers are limited. That life itself is limited, can help us to become more mindful of our priorities, and to be more aware of where we choose to invest our time.","This pandemic is a real threat, which reminds us of our mortality. And this is something many people might not be quite prepared for. Research shows that when we are faced with a threat of death, or with some greater uncertainty, we might stop thinking critically and we might start behaving in more irrational ways. This pandemic might encourage further growth of black and white thinking, conspiracy theories, prejudice and social antagonism. ",0,0,0,1,1,1,1,0,0
Social Psychology,Relationship Science,Harry Reis,Reis,,"I think people are realizing much more than they did in the past just how important to face interaction really is. When this pandemic started doing things on zoom was kind of unique and it was kind of interesting. I had a birthday party at the end of March, and we had 20 people on zoom, and that was kind of fun. But over time, what I'm coming to realize, and I think many other people are realizing this as well, is that video interaction and digital interactions, is just no substitute for face-to-face interaction. And what we're missing is our ability to really connect with other people in our social world, in a face- to-face way. Sure, most of us are quarantining in place, perhaps with a spouse, perhaps with a friend, with our children. So you're getting some of that face-to-face contact. But what we're missing is our contact with these other people. And I think we're discovering that those contacts are also important for our lives. Certainly close relationships are important and those of us who studied them, sometimes overemphasize the importance of close relationships. But other connections we have are also important; our connections with our co-workers, our associates, the person in your poker group, or your reading group, people you see it health club, even maybe the person who cuts your hair, and we're missing those kind of connections. And I think that what this pandemic is really teaching us is just how important those connections really are.","The most negative change that I've observed during this pandemic is a loss of faith and trust in the institutions and governments and organizations in our lives. When this all started we were all looking to the news media, to the CDC, to our governments to give us guidance about how to get through this safely. And over time, the kind of chaotic reaction that we've had has eroded that trust. So right now, lots of people don't trust the CDC, they certainly don't trust the president. They perhaps don't trust the governor. They don't trust the mayors in their community. And certainly, it's not just the pandemic that has done this. The various other crises that have happened in the last few months have contributed to that as well. But our trust in institutions and even our trust in our neighbors has eroded to the point where people don't know who or what to believe. And to be sure, those institutions are responsible for some of this. The CDC has given very mixed guidance, some of their guidance has not been useful. The president has suggested things that were downright nonsensical and even dangerous. And you look at some other countries, so I'm really struck by New Zealand the government there immediately did a complete and total shutdown. Six weeks after that, there's no Coronavirus in New Zealand, it's gone. It's completely gone and their society is opening up again. Meanwhile, we're three or four months into this having record numbers of new cases. It's so totally natural to not have faith in our institutions when they've been doing such a terrible job of giving us guidance to get through this. And it's going to be difficult and time consuming for us to get out of that.",1,0,0,0,0,0,0,0,0
Cognitive Psychology,Wisdom,Howard Nusbaum,Nusbaum,,"The most positive social psychological change that will last after the end of the pandemic, is likely to be the ability to make a real and meaningful social connection at a distance. That is, using the kind of tools we're using now to actually feel connected to somebody. I can see my colleagues doing things like having a toast over zoom now, actually doing this to welcome a new faculty member and beyond, my daughter's playing games with groups online, this way, or with zoom, and so forth. This will be a skill, it's been debatable for a long time, whether people in online settings are really making social contact and feeling social connection. One of the things we're learning is the skill of how to do that in these current circumstances. And that means that long distance friendships and relationships can be bolstered, more easily at the end of the pandemic.","I think it's the complement of what I was just saying that is, as people become more socially distanced and isolated, they may lose some of the skills of face-to-face interaction. They may start to become more in their own heads, and less adept at connecting to other people. There’s a risk, at least for some people in society, we're not making use of these tools or not connecting effectively with these tools, to basically withdraw within themselves and lose the sense of that social connection. We've become at risk for greater social isolation and not physical social isolation. But as Cacioppo talked about it, this sort of increasing negative construal about our social interactions so that we feel bad and become worse off as a function of those social connections.",1,0,0,1,1,1,1,1,1
Cultural Psychology,Wellbeing,Incheol Choi,Choi,,"Family will become more important than ever. Due to social distancing during this pandemic, our social life has been substantially diminished. However, very ironically, our close relationships, especially family became more crucial in our happiness. ","I'm very concerned about the general trust level. Individuals might distance themselves from other individuals, and especially other group members. Consequently, stereotypes, prejudices against other group members might arise. And that's the area I'm really concerned about. ",0,0,0,0,0,0,1,1,1
Emotions,Clinical Psychology,James Gross,Gross,,"One of the things that pandemic has done is to really shake up our patterns of work, social interaction, and leisure. Often, these are painful and difficult changes. But out of this chaos, and this alteration in our habitual modes of existence, and in these different domains, I think there are opportunities for really re-evaluating what gives us joy and meaning in our lives. And if we are able to take stock in what we've found has changed, that's actually led to greater sense of meaning and joy, I think there's opportunity for gain at the individual level. At a societal level, too, I think there are opportunities for benefit. In one place that we might see benefit, or something positive coming from this very difficult time is an appreciation, greater appreciation of the need for collaboration at transnational levels. This has always been a tension between the national and the transnational ever since the innovation of the nation state. And it's been very difficult for us to remember the importance of collaborative activity across nations and across cultures. And I think this is an opportunity to see that there are threats, many threats that we face as a species that really are best addressed at this collective level.  ","I think the unifying theme there is probably the growing inequity. We are, as is well understood, are experiencing growing inequity in distribution of resources, across nations and cultures, and certainly within any given nation. And that represents, I think, a tremendous source of suffering, because so much of our sense of wellbeing derives from a comparison of how we're doing to how others are doing. And the greater the inequity, the greater the suffering.  ",0,0,0,0,0,0,1,0,0
Social Psychology,,Jean Twenge,Twenge,,"One of the most positive changes is something we're already seeing, which is in political activism. That, maybe, this might be the end of apathy. Maybe we'll get better voter turnout. Assuming we can find a way to do that safely. That we have more people who are going to  volunteer to work for a campaign. We’ve already seen a big protests for racial justice, a lot of movement around reform around police brutality and so on, that there's just more interest in the civic sphere and in getting involved, and changing government and public policies and so on.","The most negative thing that's happening right now is around mental health. And I have a paper out on that, that’s a preprint, and there's several other studies, one I just saw today, from those who administer the General Social Survey, they sample in May, looking at happiness and happiness is at a 50 year low. And we find in our paper, big increases in mental distress. There's census data, US Census Bureau administer data, looking at anxiety and depression that is also increased by quite a bit during the pandemic. I think it's really clear that we have a mental health crisis on our hands. So we have to keep that in mind, that that's real. That yes, you know, sometimes you're gonna have great examples of resilience and there are a lot of positives, but that for a significant number of people looks like it's up to a third of people, there's some pretty serious mental distress, anxiety and depression going on, probably from the social isolation, from the anxiety around possibly catching the illness, and, of course around economic disruptions, which don't look like they're going away anytime soon. ",0,0,0,1,1,1,0,0,0
Cognitive Psychology,Neuroscience,Jeffrey Zacks,Zacks,,"I think one thing the pandemic has done is broken some habits. One of those that's striking to me is business travel. Lots of us had all these trips scheduled in February and March that just disappeared. And this is no doubt induce some social and collaboration costs, but also has had real benefits for families and for the environment, reducing our carbon footprint. And I think we should take advantage of that lesson. ","I'd start by saying that I think the big obvious negative consequences are social and psychopathological. And these are not to be neglected. But they're also not so much an area that I have expertise in. One issue, which I don't think is as important, but I think is pretty interesting and is of some importance concerns episodic memory. And the issue here is that we know that differentiating context is super important for burning in effective, episodic and autobiographical memories. And our normal existence offers a bunch of contextual cues that have been eliminated by living on zoom. So, in my normal life, I might teach a class and then walk from one physical location to another and have a meeting, and then ride my bike across town for a lunch or another meeting. Now, I go from zoom meeting to zoom meeting, as do we all. And lots of folks have told me that they feel like one event just blends into the other, blends in together in their memory. And I worry that we may wind up with a kind of collective fog in our memories for these couple of years. ",0,0,0,1,0,0,0,0,0
